"tablescraper-selected-row","name","name href","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","num","num 2","num 3","num 4","tablescraper-selected-row 5","tablescraper-selected-row 6","on","on href","intop_btnarea"
"1","리그 오브 레전드","javascript:void(0);","RTS","92.51","44.84","9,365","13,581,127","101","8,108,005","라이엇게임즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"2","배틀그라운드","javascript:void(0);","FPS","52.86","11.94","9,184","3,615,218","77","2,847,688","카카오/스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"3","FIFA 온라인 4","javascript:void(0);","스포츠","92.72","7.92","9,259","2,397,196","55","2,653,995","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"4","오버워치","javascript:void(0);","FPS","30.97","7.00","9,134","2,117,908","72","1,786,435","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"5","메이플스토리","javascript:void(0);","RPG","37.78","5.24","9,007","1,584,933","101","944,977","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"6","패스 오브 엑자일","javascript:void(0);","RPG","18.99","2.63","7,349","796,493","138","347,402","카카오/그라인딩 기어 게임즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"7","스타크래프트 리마스터","javascript:void(0);","RTS","4.75","2.31","8,737","697,175","72","588,882","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"8","서든어택","javascript:void(0);","FPS","10.06","2.28","8,722","688,116","65","644,924","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"9","던전앤파이터","javascript:void(0);","액션","55.77","1.73","7,823","522,037","89","342,205","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"10","카트라이더","javascript:void(0);","레이싱","99.49","1.65","8,897","498,902","35","874,321","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"11","로스트아크","javascript:void(0);","RPG","8.96","1.25","5,995","375,766","132","171,418","스마일게이트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"12","월드 오브 워크래프트","javascript:void(0);","RPG","4.67","0.65","4,160","195,591","137","85,817","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"13","리니지","javascript:void(0);","RPG","4.66","0.65","3,613","195,180","142","82,869","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"14","사이퍼즈","javascript:void(0);","액션","19.36","0.60","4,607","181,189","114","95,226","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"15","검은사막","javascript:void(0);","RPG","3.27","0.46","3,589","136,996","129","63,708","(주)펄어비스","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"16","디아블로3","javascript:void(0);","RPG","3.03","0.42","4,059","126,975","112","68,235","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"17","레인보우식스 시즈","javascript:void(0);","FPS","1.65","0.38","3,639","112,321","74","91,514","네오위즈/스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"18","스타크래프트2","javascript:void(0);","RTS","0.71","0.35","4,672","104,027","71","88,272","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"19","히어로즈 오브 더 스톰","javascript:void(0);","RTS","0.69","0.33","3,577","99,911","92","65,267","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"20","워크래프트3 리포지드","javascript:void(0);","RTS","0.67","0.33","3,287","97,364","70","84,744","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"21","테일즈런너","javascript:void(0);","스포츠","3.45","0.30","4,429","89,169","47","113,122","스마일게이트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"22","DOTA 2","javascript:void(0);","RTS","0.57","0.28","1,952","83,076","101","51,490","스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"23","블레이드 & 소울","javascript:void(0);","RPG","1.96","0.28","2,812","82,139","95","51,592","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"24","아이온","javascript:void(0);","RPG","1.90","0.27","2,197","79,614","108","44,347","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"25","GTA 5","javascript:void(0);","액션","7.32","0.23","2,390","68,483","68","60,406","스팀","유료","","",""
