"tablescraper-selected-row","name","name href","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","num","num 2","num 3","num 4","tablescraper-selected-row 5","tablescraper-selected-row 6","on","on href","intop_btnarea"
"1","배틀그라운드","javascript:void(0);","FPS","78.70","42.48","9,337","14,006,081","92","9,142,515","카카오/스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"2","리그 오브 레전드","javascript:void(0);","RTS","88.87","24.06","9,404","7,931,387","91","5,226,242","라이엇게임즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"3","오버워치","javascript:void(0);","FPS","13.73","7.42","9,281","2,443,389","67","2,178,528","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"4","서든어택","javascript:void(0);","FPS","6.53","3.53","9,112","1,161,132","64","1,094,991","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"5","던전앤파이터","javascript:void(0);","액션","76.41","2.75","8,671","905,130","86","622,995","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"6","스타크래프트 리마스터","javascript:void(0);","RTS","7.47","2.02","8,778","665,870","71","568,712","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"7","메이플스토리","javascript:void(0);","RPG","15.23","1.38","7,925","454,494","80","341,381","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"8","리니지","javascript:void(0);","RPG","12.68","1.15","5,762","378,318","118","193,357","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"9","디아블로3","javascript:void(0);","RPG","11.27","1.02","6,474","336,281","115","175,791","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"10","천애명월도","javascript:void(0);","RPG","10.91","0.99","5,474","325,358","121","162,135","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"11","월드 오브 워크래프트","javascript:void(0);","RPG","8.48","0.77","5,155","252,895","124","122,971","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"12","아이온","javascript:void(0);","RPG","6.85","0.62","4,189","204,185","97","127,513","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"13","블레이드 & 소울","javascript:void(0);","RPG","5.83","0.53","4,499","173,940","95","108,852","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"14","사이퍼즈","javascript:void(0);","액션","14.37","0.52","4,797","170,216","105","97,028","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"15","카트라이더","javascript:void(0);","레이싱","83.72","0.49","7,197","160,560","35","279,902","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"16","검은사막","javascript:void(0);","RPG","5.15","0.47","4,526","153,544","107","86,242","(주)펄어비스","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"17","워크래프트3 리포지드","javascript:void(0);","RTS","1.29","0.35","3,450","114,654","86","80,982","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"18","히어로즈 오브 더 스톰","javascript:void(0);","RTS","1.01","0.28","2,799","89,847","86","63,225","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"19","한게임 로우바둑이","javascript:void(0);","보드","15.21","0.25","3,515","80,767","27","179,662","한게임","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"20","스페셜포스","javascript:void(0);","FPS","0.41","0.22","2,532","71,424","104","41,634","네오위즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"21","크레이지아케이드","javascript:void(0);","아케이드","59.38","0.22","4,541","70,108","31","139,258","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"22","파이널판타지14","javascript:void(0);","RPG","2.27","0.21","2,022","67,614","134","30,366","액토즈소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"23","스타크래프트2","javascript:void(0);","RTS","0.72","0.20","2,836","64,165","73","52,965","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"24","테라","javascript:void(0);","RPG","2.01","0.19","1,892","59,717","82","43,618","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"25","테일즈런너","javascript:void(0);","스포츠","4.75","0.17","3,848","54,880","36","94,290","스마일게이트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"26","리니지2","javascript:void(0);","RPG","1.71","0.16","1,698","50,883","140","21,853","엔씨소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"27","하스스톤","javascript:void(0);","보드","9.33","0.16","4,167","49,547","41","76,335","블리자드","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"28","클로저스","javascript:void(0);","액션","3.73","0.14","2,180","44,179","81","32,670","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"29","한게임 신맞고","javascript:void(0);","보드","8.22","0.14","2,894","43,657","40","65,648","한게임","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"30","거상","javascript:void(0);","RPG","1.32","0.12","1,672","39,224","89","26,618","(주)에이케이인터렉티브","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"31","DOTA 2","javascript:void(0);","RTS","0.44","0.12","708","38,571","123","18,757","스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"32","한게임 하이로우","javascript:void(0);","보드","7.20","0.12","2,347","38,239","24","99,522","한게임","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"33","아바","javascript:void(0);","FPS","0.21","0.12","1,920","36,483","66","33,623","네오위즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"34","버블파이터","javascript:void(0);","슈팅","79.26","0.11","2,332","34,892","48","42,646","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"35","아키에이지","javascript:void(0);","RPG","1.13","0.11","986","33,498","51","39,471","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"36","GTA 5","javascript:void(0);","액션","2.74","0.10","1,446","32,398","66","29,542","스팀","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"37","오디션","javascript:void(0);","아케이드","26.10","0.10","1,251","30,811","59","31,377","웹젠","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"38","엘소드","javascript:void(0);","RPG","1.02","0.10","1,902","30,388","66","27,023","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"39","슬러거","javascript:void(0);","스포츠","2.60","0.10","1,692","29,992","48","38,328","네오위즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"40","엘로아","javascript:void(0);","RPG","1.00","0.10","1,894","29,740","71","25,355","CJ인터넷","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"41","디아블로2","javascript:void(0);","RPG","0.99","0.09","1,151","29,291","91","19,456","블리자드","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"42","프리스타일2","javascript:void(0);","스포츠","2.45","0.09","1,864","28,272","65","26,515","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"43","R2","javascript:void(0);","RPG","0.94","0.09","723","27,858","111","15,117","웹젠","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"44","뮤 온라인","javascript:void(0);","RPG","0.89","0.08","707","26,373","140","11,335","웹젠","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"45","마구마구","javascript:void(0);","스포츠","2.26","0.08","2,262","26,058","25","63,165","넷마블","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"46","마비노기","javascript:void(0);","RPG","0.88","0.08","1,427","25,981","77","20,941","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"47","넷마블 포커리그","javascript:void(0);","보드","4.89","0.08","1,858","25,927","38","42,031","넷마블","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"48","마비노기 영웅전","javascript:void(0);","RPG","0.82","0.08","1,223","24,321","89","16,384","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"49","라그나로크 Zero","javascript:void(0);","RPG","0.76","0.07","629","22,672","107","12,690","그라비티","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"50","프리스타일","javascript:void(0);","스포츠","1.92","0.07","1,139","22,201","71","18,893","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"51","카운터-스트라이크 온라인","javascript:void(0);","FPS","0.13","0.07","2,434","21,596","39","33,665","넥슨","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"52","겟앰프드","javascript:void(0);","대전격투","96.93","0.07","1,569","21,142","53","23,963","네오위즈","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"53","이카루스","javascript:void(0);","RPG","0.69","0.07","498","20,574","133","9,340","카카오게임즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"54","카오스온라인","javascript:void(0);","RTS","0.23","0.07","795","20,450","119","10,362","세시소프트","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"55","한게임 7포커","javascript:void(0);","보드","3.84","0.07","1,954","20,386","22","55,919","한게임","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"56","DK온라인","javascript:void(0);","RPG","0.68","0.07","306","20,191","207","5,859","마상소프트","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"57","엠게임 바둑","javascript:void(0);","보드","3.65","0.06","1,129","19,387","67","17,570","웹젠","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"58","스페셜포스2","javascript:void(0);","FPS","0.11","0.06","1,106","19,307","86","13,561","넷마블","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"59","월드 오브 탱크","javascript:void(0);","액션","1.63","0.06","994","19,298","84","13,916","워게이밍유한회사","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"60","한게임 바둑","javascript:void(0);","보드","3.40","0.06","1,469","18,026","55","19,824","한게임","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"61","러브비트","javascript:void(0);","아케이드","13.95","0.05","913","16,467","58","17,255","엔씨소프트","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"62","에오스","javascript:void(0);","RPG","0.53","0.05","502","15,709","134","7,047","카카오게임즈","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"63","클럽엠스타","javascript:void(0);","캐주얼","96.07","0.05","573","14,989","66","13,693","넷마블","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"64","피망 뉴맞고","javascript:void(0);","보드","2.77","0.05","1,607","14,665","32","27,911","네오위즈","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"65","미르의전설2","javascript:void(0);","RPG","0.49","0.05","390","14,342","89","9,714","와이디온라인","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"66","뮤 레전드","javascript:void(0);","RPG","0.48","0.05","359","14,109","144","5,913","웹젠","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"67","바람의나라","javascript:void(0);","RPG","0.45","0.05","861","13,226","73","10,759","넥슨","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"68","한게임 라스베가스 포커","javascript:void(0);","보드","2.37","0.04","1,863","12,579","12","66,920","한게임","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"69","넷마블 대박맞고","javascript:void(0);","보드","2.33","0.04","1,266","12,362","41","18,227","넷마블","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"70","한게임 신사천성","javascript:void(0);","보드","2.32","0.04","1,098","12,306","50","14,929","한게임","무료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
"71","오로바둑","javascript:void(0);","보드","2.25","0.04","632","11,949","87","8,262","웹젠","유료","","",""
"","","","","","","","","","","","","점유율 등락","javascript:void(0);","이용시간 등락"
