rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,브롤스타즈,Supercell,액션게임,-1.69
2,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,-5.88
3,,Roblox,Roblox Corporation,어드벤처게임,-3.59
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,0.15
5,2.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,24.15
6,-1.0,클래시 로얄,Supercell,전략게임,3.89
7,1.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,2.1
8,-2.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,-3.83
9,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-1.73
10,0.0,블루 아카이브,NEXON Company,,
11,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-3.6
12,-1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-1.14
13,-1.0,리니지W,NCSOFT,롤플레잉게임,-7.68
14,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,0.82
15,,캔디크러쉬사가,King,캐주얼게임,0.54
16,-3.0,Minecraft,Mojang,액션게임,-4.24
17,-1.0,클래시 오브 클랜,Supercell,전략게임,-0.68
18,-1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.42
19,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-2.18
20,3.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,13.76
21,1.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠게임,6.64
22,-2.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,1.24
23,-5.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-14.45
24,-3.0,애니팡2,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,0.45
25,0.0,배틀그라운드: NEW STATE,"KRAFTON, Inc.",,
26,-2.0,Rummikub,Kinkajoo,보드게임,-0.82
27,-2.0,애니팡4,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.6
28,-2.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.85
29,-2.0,애니팡3,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.7
30,-1.0,라이엇 모바일,"Riot Games, Inc",게임커뮤니티,8.08
31,-3.0,랜덤 다이스(Random Dice) : PvP 디펜스,111%,전략게임,-4.62
32,-1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.07
33,-1.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-0.12
34,-4.0,원신,miHoYo Limited,어드벤처게임,-10.29
35,-1.0,냥코 대전쟁,PONOS Corporation,캐주얼게임,-3.43
36,-3.0,오딘: 발할라 라이징,Kakao Games Corp.,롤플레잉게임,-6.98
37,-1.0,워드퍼즐 - 단어 게임! 재미있는 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,-0.98
38,,애니팡 사천성,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,0.14
39,,캔디크러쉬소다,King,캐주얼게임,-0.99
40,1.0,피파모바일,NEXON Company,스포츠게임,-3.09
41,-4.0,U+프로야구(모든 통신사 이용가능),LG유플러스(LG Uplus Corporation),야구,-10.52
42,-7.0,Pokémon UNITE,The Pokemon Company,액션게임,-18.53
43,,한게임 포커,NHN BIGFOOT,카지노게임,-1.15
44,,컴투스프로야구2021,Com2uS,스포츠게임,-0.59
45,,Among Us,Innersloth LLC,액션게임,-0.02
46,-4.0,심포니 오브 에픽,Moonton,전략게임,-14.75
47,5.0,프렌즈샷: 누구나골프,Kakao Games Corp.,스포츠게임,8.55
48,-1.0,장기,게임 스튜디오 모노몹,보드게임,-0.5
49,-3.0,Rider,Ketchapp,아케이드게임,-1.49
50,-2.0,스도쿠 - 두뇌 훈련용 퍼즐 게임,Easybrain,보드게임,-1.71
51,-2.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-2.87
52,5.0,라스트오리진,SmartJoy,,4.76
53,-3.0,고스트워 : 캐주얼 배틀 아레나,RHAON,전략게임,-4.17
54,-3.0,피쉬돔 (Fishdom),Playrix,퍼즐/퀴즈게임,-2.44
55,-1.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,0.09
56,-1.0,위 베어 베어스 더 퍼즐,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.57
57,4.0,앙상블스타즈!!,HappyElements,시뮬레이션게임,6.3
