rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,브롤스타즈,Supercell,액션게임,-1.04
2,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,0.95
3,,Roblox,Roblox Corporation,어드벤처게임,-4.93
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-3.12
5,3.0,클래시 로얄,Supercell,전략게임,19.69
6,-1.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,-1.56
7,6.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,39.76
8,-2.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-1.1
9,-2.0,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-1.17
10,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-1.07
11,-1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,6.67
12,0.0,리니지W,NCSOFT,,
13,-2.0,Minecraft,Mojang,액션게임,-5.4
14,-2.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-1.63
15,-1.0,캔디크러쉬사가,King,캐주얼게임,-1.42
16,2.0,클래시 오브 클랜,Supercell,전략게임,2.71
17,,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.85
18,-2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-3.35
19,-4.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-10.2
20,1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,2.0
21,-1.0,애니팡2,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.31
22,-3.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠게임,-11.61
23,-1.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-1.89
24,-1.0,Rummikub,Kinkajoo,보드게임,-3.02
25,-1.0,애니팡4,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.71
26,-1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-1.36
27,-1.0,애니팡3,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.71
28,-1.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-0.14
29,,라이엇 모바일,"Riot Games, Inc",게임커뮤니티,1.35
30,5.0,원신,miHoYo Limited,어드벤처게임,13.6
