rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-3.21
2,,Among Us,Innersloth LLC,액션게임,-3.95
3,,브롤스타즈,Supercell,액션게임,1.72
4,,ROBLOX,Roblox Corporation,어드벤처게임,0.72
5,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,1.22
6,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,0.68
7,,Pokémon GO,"Niantic, Inc.",어드벤처게임,8.37
8,,세븐나이츠2,Netmarble,롤플레잉게임,-12.12
9,1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-1.01
10,2.0,클래시 로얄,Supercell,전략게임,4.18
11,-2.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-7.36
12,-1.0,Minecraft,Mojang,액션게임,-0.73
13,,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,0.79
14,1.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,1.2
15,-1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,0.25
16,,클래시 오브 클랜,Supercell,전략게임,2.21
17,1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,0.83
18,-1.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.35
19,,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,1.16
20,,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.72
21,,캔디크러쉬사가,King,캐주얼게임,0.28
22,1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.24
23,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,-1.73
24,2.0,LoL+,"Riot Games, Inc",게임커뮤니티,6.14
25,-1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,1.89
26,-1.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-0.73
27,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,3.89
28,4.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,6.97
29,-1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,1.32
30,-1.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,0.4
31,,애니팡 사천성,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.53
32,1.0,메이플스토리M,NEXON Company,롤플레잉게임,4.78
33,1.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,3.47
34,1.0,Rummikub,Kinkajoo,보드게임,2.44
35,-5.0,리니지M,NCSOFT,롤플레잉게임,-6.78
36,1.0,캔디크러쉬소다,King,캐주얼게임,-0.21
37,4.0,워드퍼즐 - 단어 게임! 재미있는 무료 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,3.65
38,2.0,한게임 포커,NHN BIGFOOT,카지노게임,2.22
39,3.0,궁수의 전설,Habby,액션게임,-0.59
40,-1.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-6.08
41,-5.0,마술양품점,Smilegate Megaport,캐주얼게임,-22.43
42,2.0,로드 오브 히어로즈,CloverGames,롤플레잉게임,-1.17
43,2.0,원신,miHoYo Limited,어드벤처게임,-3.55
44,4.0,위 베어 베어스 더 퍼즐,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,1.33
45,-2.0,바람의나라: 연,NEXON Company,롤플레잉게임,-11.91
46,,AFK 아레나,LilithGames,롤플레잉게임,-3.55
47,,머지 스네이크(Merge Snake!),"Wuhan Weipai Network Technology Co., Ltd.",캐주얼게임,-3.19
48,2.0,모두의마블,Netmarble,보드게임,3.09
49,2.0,장기,게임 스튜디오 모노몹,보드게임,1.45
50,2.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,2.19
51,-2.0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략게임,-4.38
52,-14.0,미르4,"Wemade Co., Ltd",롤플레잉게임,-25.64
53,1.0,애니팡,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,1.96
54,-1.0,Toy Blast - 토이 블라스트,Peak,퍼즐/퀴즈게임,-0.43
55,14.0,슈퍼 액션 히어로 리턴즈,Com2uS,캐주얼게임,21.53
56,-1.0,하스스톤,"Blizzard Entertainment, Inc.",카드게임,-1.9
57,,피쉬돔 (Fishdom),Playrix,퍼즐/퀴즈게임,1.94
58,1.0,피망 섯다,NEOWIZ corp,카지노게임,2.95
59,2.0,고스트워 : 캐주얼 배틀 아레나,RHAON,전략게임,3.81
60,-4.0,세븐나이츠,Netmarble,롤플레잉게임,-7.02
61,2.0,스도쿠 - 무료 두뇌훈련 스도쿠 퍼즐,Easybrain,보드게임,1.42
62,-2.0,토킹톰 골드런,Outfit7 Limited,액션게임,-3.78
63,2.0,고스톱 PLUS (무료 맞고 게임),BUZZPOWDER,카지노게임,0.92
64,2.0,콜 오브 듀티: 모바일,PROXIMA BETA,액션게임,0.67
65,-7.0,냥코 대전쟁,PONOS Corporation,캐주얼게임,-9.47
66,12.0,마피아42,TEAM42,전략게임,9.45
67,,Rider,Ketchapp,아케이드게임,-0.9
68,3.0,꿈의 마을 (Township),Playrix,캐주얼게임,-0.16
69,3.0,드래곤 플라이트,LINE Games,아케이드게임,0.54
70,4.0,Toon Blast,Peak,퍼즐/퀴즈게임,2.34
71,-9.0,리니지2M,NCSOFT,롤플레잉게임,-9.18
72,4.0,"Happy Color – 컬러링북, 숫자 색칠 게임",X-Flow,유아교육,1.69
73,4.0,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,-0.84
74,-4.0,일곱 개의 대죄: GRAND CROSS,Netmarble,롤플레잉게임,-9.19
75,9.0,한게임 섯다,NHN BIGFOOT,카지노게임,6.79
76,3.0,상하이 애니팡,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.11
77,-13.0,원시인 형님들 키우기 : 문명,Gamecafe,시뮬레이션게임,-15.75
78,2.0,3D운전교실,John 3:16,시뮬레이션게임,-1.03
79,-6.0,조이느 클래시 3D,Supersonic Studios LTD,아케이드게임,-7.53
80,-5.0,Project Makeover,"Magic Tavern, Inc.",캐주얼게임,-8.71
81,-13.0,디펜스 워：데스티니 차일드 PVP 게임,THUMBAGE,전략게임,-14.76
82,4.0,단어호감 - 무료 워드 게임! 재미있는 퍼즐 게임,Kerun Games,퍼즐/퀴즈게임,1.27
83,2.0,블록 퍼즐 보석,hua weiwei,퍼즐/퀴즈게임,0.97
