rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,-4.95
2,0.0,제2의 나라: CROSS WORLDS,Netmarble,롤플레잉게임,
3,-1.0,브롤스타즈,Supercell,액션게임,2.24
4,-1.0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-0.64
5,0.0,골프존,Golfzon,골프,
6,-2.0,ROBLOX,Roblox Corporation,어드벤처게임,-1.33
7,-1.0,무한의 계단,NFLY STUDIO,아케이드게임,5.78
8,-3.0,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-3.8
9,0.0,"LIVE스코어 - 축구, 야구, 농구, 배구 등 가장 빠른 스포츠 전종목 라이브스코어",PSYNET,스코어,
10,-2.0,Pokémon GO,"Niantic, Inc.",어드벤처게임,10.2
11,-4.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-3.6
12,-3.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-3.29
13,-3.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.59
14,-2.0,클래시 로얄,Supercell,전략게임,6.72
15,0.0,"스마트스코어 - 스코어관리, 부킹, 골프용품, 골프여행, 골프장정보, 골프동호회를 한번에!",Smartscore Inc.,골프,
16,-5.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,0.36
17,-3.0,Minecraft,Mojang,액션게임,1.07
18,-5.0,캔디크러쉬사가,King,캐주얼게임,-0.23
19,-4.0,클래시 오브 클랜,Supercell,전략게임,-1.05
20,-4.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-2.7
21,-4.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-1.24
22,-4.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-0.68
23,0.0,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,T-on Network,스코어,
24,0.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠게임,
25,-5.0,애니팡2,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.67
26,-5.0,애니팡4,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.55
27,-2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,12.33
28,-6.0,애니팡3,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.31
29,-5.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,3.84
30,-7.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.9
31,-12.0,파이널기어,BILIBILI,액션게임,-17.89
32,-6.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.24
33,0.0,SPOTV NOW(스포티비 나우) - 프리미엄 스포츠 생중계,주식회사 커넥티비티,기타스포츠,
34,0.0,카카오골프예약,Kakao VX Corp.,골프,
35,-6.0,워드퍼즐 - 단어 게임! 재미있는 무료 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,6.16
36,-9.0,Rummikub,Kinkajoo,보드게임,-1.63
37,0.0,U+프로야구(모든 통신사 이용가능),LG유플러스(LG Uplus Corporation),야구,
38,-10.0,LoL+,"Riot Games, Inc",게임커뮤니티,-0.86
39,-9.0,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-0.81
40,-8.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-0.43
41,0.0,컴투스프로야구2021,Com2uS,스포츠게임,
42,-11.0,Among Us,Innersloth LLC,액션게임,-5.32
43,-10.0,애니팡 사천성,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.37
44,-7.0,원신,miHoYo Limited,어드벤처게임,9.92
45,0.0,FIFA Mobile,NEXON Company,스포츠게임,
46,-12.0,한게임 포커,NHN BIGFOOT,카지노게임,-1.84
47,-11.0,캔디크러쉬소다,King,캐주얼게임,0.26
48,-13.0,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,롤플레잉게임,-5.81
49,-11.0,Project Makeover,"Magic Tavern, Inc.",캐주얼게임,1.51
50,-6.0,장기,게임 스튜디오 모노몹,보드게임,0.21
51,-10.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,-3.4
52,-12.0,리니지M,NCSOFT,롤플레잉게임,-5.12
53,-8.0,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-2.99
54,-12.0,세븐나이츠2,Netmarble,롤플레잉게임,-6.89
55,-5.0,한국밈 피하기,REDNOSE GAMES,,7.04
56,-17.0,동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션게임,-10.54
57,-11.0,위 베어 베어스 더 퍼즐,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,0.01
58,-15.0,에픽세븐,Smilegate Megaport,롤플레잉게임,-9.69
59,-11.0,피쉬돔 (Fishdom),Playrix,퍼즐/퀴즈게임,0.42
60,-11.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,-1.37
61,0.0,"골프존 티스캐너 - 골프부킹, 골프예약, 해외골프, 골프투어",골프존카운티,골프,
62,2.0,마스터 카운트: 군중 클래시 & 스틱맨 달리기 게임,Freeplay Inc,,19.58
63,-12.0,모두의마블,Netmarble,보드게임,-2.88
64,-12.0,메이플스토리M,NEXON Company,롤플레잉게임,-2.69
65,-10.0,스도쿠 - 무료 두뇌훈련 스도쿠 퍼즐,Easybrain,보드게임,0.07
66,-19.0,라스트오리진,SmartJoy,,-12.91
67,0.0,프렌즈 스크린,Kakao VX Corp.,골프,
68,-10.0,Toon Blast,Peak,퍼즐/퀴즈게임,-0.91
69,-16.0,바람의나라: 연,NEXON Company,롤플레잉게임,-6.8
70,-11.0,냥코 대전쟁,PONOS Corporation,캐주얼게임,0.35
71,-10.0,애니팡,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.06
72,-9.0,궁수의 전설,Habby,액션게임,1.03
73,0.0,"골프몬 - 부킹, 조인, 1박2일, 해외골프",골프몬,골프,
74,-17.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-8.47
75,-7.0,하스스톤,"Blizzard Entertainment, Inc.",카드게임,0.78
76,-11.0,피망 섯다,NEOWIZ corp,카지노게임,-1.67
77,-17.0,마피아42,TEAM42,전략게임,-4.88
78,0.0,골팡 골프 부킹. 조인. 국내.해외 골프투어 필수어플,(주)골팡,골프,
79,-12.0,Toy Blast - 토이 블라스트,Peak,퍼즐/퀴즈게임,-2.15
80,-18.0,로드 오브 히어로즈,CloverGames,롤플레잉게임,-4.62
81,-12.0,단어호감 - 무료 워드 게임! 재미있는 퍼즐 게임,Kerun Games,퍼즐/퀴즈게임,0.64
82,-16.0,Rider,Ketchapp,아케이드게임,-3.76
83,-27.0,프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉게임,-15.06
84,-13.0,꿈의 마을 (Township),Playrix,캐주얼게임,-0.28
85,-5.0,머지 스네이크(Merge Snake!),"Wuhan Weipai Network Technology Co., Ltd.",캐주얼게임,10.96
86,-16.0,콜 오브 듀티: 모바일,PROXIMA BETA,액션게임,-2.91
87,-15.0,한게임 섯다,NHN BIGFOOT,카지노게임,-0.49
88,-15.0,고스톱 PLUS (무료 맞고 게임),BUZZPOWDER,카지노게임,-0.34
89,-15.0,드래곤 플라이트,LINE Games,아케이드게임,-0.73
90,-12.0,토킹톰 골드런,Outfit7 Limited,액션게임,3.02
91,-8.0,매직 타일 3,AMANOTES PTE LTD,리듬/타일게임,5.47
92,0.0,"XGOLF 엑스골프 - 골프부킹, 1인예약, 1박2일, 해외골프","GreenWorks Co.,Ltd.",골프,
93,-17.0,세븐나이츠,Netmarble,롤플레잉게임,-3.36
94,-17.0,그랑사가,NPIXEL,롤플레잉게임,-1.11
95,-41.0,트릭스터M,NCSOFT,,-30.24
96,-17.0,AFK 아레나,LilithGames,롤플레잉게임,-2.06
97,-16.0,"Happy Color – 컬러링북, 숫자 색칠 게임",X-Flow,유아교육,-1.0
98,-16.0,상하이 애니팡,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.65
99,-5.0,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED",,10.75
100,-15.0,스누피 틀린그림찾기,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.47
101,-15.0,달려라 티라노,PathBreaker,캐주얼게임,-1.12
102,-14.0,1945 공군: 슈팅 비행기게임 - 무료게임,ONESOFT,아케이드게임,0.37
103,-28.0,일곱 개의 대죄: GRAND CROSS,Netmarble,롤플레잉게임,-11.2
104,-17.0,레알팜 : 진짜 농산물 주는 게임,NEOGAMES,시뮬레이션게임,-1.69
105,-21.0,명일방주,Yostar Limited.,전략게임,-5.32
106,18.0,ALTER EGO,Caramel Column Inc.,어드벤처게임,31.82
107,-18.0,프렌즈사천성,Kakao Games Corp.,퍼즐/퀴즈게임,-0.59
108,-13.0,행복의 저택,"Magic Tavern, Inc.",퍼즐/퀴즈게임,2.06
109,-9.0,숨겨진 유산,Playrix,어드벤처게임,7.75
110,-18.0,기적의 검,4399 KOREA,롤플레잉게임,-1.99
111,-18.0,피망 뉴맞고: 카카오맞고 1등 고스톱,NEOWIZ corp,카지노게임,-0.93
112,-22.0,소녀X헌터,Sincetimes Inc.,,-4.21
113,0.0,eFootball PES 2021,KONAMI,스포츠게임,
114,-16.0,페이트/그랜드 오더,Netmarble,롤플레잉게임,-0.98
115,0.0,마구마구 2021,Netmarble,스포츠게임,
116,-14.0,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,4.97
117,-18.0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,롤플레잉게임,-1.81
118,0.0,"게임원 – GAMEONE, 사회인야구",GAMEONE,야구,
119,-28.0,뱅드림! 걸즈 밴드 파티!,Kakao Games Corp.,리듬/타일게임,-9.54
120,-19.0,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,-0.88
121,0.0,GDR,골프존,골프,
122,0.0,KBO STATS,"Sports2i Co., Ltd.",야구,
123,-14.0,리니지2M,NCSOFT,롤플레잉게임,5.33
124,-9.0,제5인격,X.D. Global,어드벤처게임,9.19
125,-21.0,블록 퍼즐 보석,hua weiwei,퍼즐/퀴즈게임,-1.54
126,-19.0,지오메트리 대시 라이트 (Geometry Dash L),RobTop Games,아케이드게임,0.17
127,-24.0,라이즈 오브 킹덤즈,LilithGames,전략게임,-2.9
128,-23.0,삼국지 전략판,Qookka Games,전략게임,-3.04
129,-21.0,스와이프 벽돌깨기 - no.1 벽돌깨기 게임,Nine Games,아케이드게임,0.0
130,-24.0,아이러브커피,PATIGames Corp.,캐주얼게임,-1.83
131,-21.0,Nonogram.com(피크로스) - 픽처 크로스 퍼즐 게임,Easybrain,퍼즐/퀴즈게임,-2.38
132,-19.0,애니팡 포커,PLAYLINKS Corp.,카지노게임,-0.94
133,-22.0,에브리타운,FLERO Games,시뮬레이션게임,-2.26
134,-13.0,고스톱 프리: 무료 맞고 혼자 치는 화투게임,NEOWIZ corp,카지노게임,1.42
135,-23.0,Hair Challenge,Rollic Games,액션게임,-1.9
136,-22.0,모바일 레전드: Bang Bang,Moonton,슈팅게임,-0.67
137,-17.0,"모비 - 사전예약, 사전등록, 게임쿠폰",헝그리앱 Group,게임정보,-0.25
138,-22.0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략게임,-2.12
