rank,rank_change,app_name,publisher_name,biz_category_sub,value
81,32.0,물 퍼즐 정렬 - 색상 정렬 게임,Sonatgame,,23.61
82,-20.0,매직 타일 3,AMANOTES PTE LTD,리듬/타일게임,-19.94
83,9.0,골팡 골프 부킹. 조인. 국내.해외 골프투어 필수어플,(주)골팡,골프,3.85
84,4.0,고스톱 PLUS (무료 맞고 게임),BUZZPOWDER,카지노게임,0.9
85,11.0,타임 프린세스,IGG.COM,롤플레잉게임,5.57
86,-10.0,세븐나이츠,Netmarble,롤플레잉게임,-11.93
87,-7.0,동물의 숲 포켓 캠프,"Nintendo Co., Ltd.",시뮬레이션게임,-9.93
88,-3.0,페이트/그랜드 오더,Netmarble,롤플레잉게임,-3.78
89,2.0,eFootball PES 2021,KONAMI,스포츠게임,-0.77
90,8.0,1945 공군: 슈팅 비행기게임 - 고전게임,ONESOFT,아케이드게임,3.86
91,-12.0,토킹톰 골드런,Outfit7 Limited,액션게임,-13.0
92,3.0,드래곤 플라이트,LINE Games,아케이드게임,-0.21
93,4.0,레알팜 : 진짜 농산물 주는 게임,NEOGAMES,시뮬레이션게임,0.45
94,11.0,뱅드림! 걸즈 밴드 파티!,Kakao Games Corp.,리듬/타일게임,2.22
95,5.0,스누피 틀린그림찾기,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.63
96,5.0,상하이 애니팡,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,0.05
97,17.0,"XGOLF 엑스골프 - 골프부킹, 1인예약, 1박2일, 해외골프","GreenWorks Co.,Ltd.",골프,10.27
98,-54.0,Re:제로부터 시작하는 이세계 생활 Lost in Memories,Komoe Game,,-47.93
99,-10.0,고스트워 : 캐주얼 배틀 아레나,RHAON,전략게임,-8.86
100,10.0,AFK 아레나,LilithGames,롤플레잉게임,2.92
101,6.0,달려라 티라노,PathBreaker,캐주얼게임,-0.36
102,-15.0,마구마구 2021,Netmarble,스포츠게임,-12.01
103,5.0,프렌즈사천성,Kakao Games Corp.,퍼즐/퀴즈게임,0.13
104,5.0,숨겨진 유산,Playrix,어드벤처게임,0.12
105,47.0,붕괴3rd,miHoYo Limited,액션게임,45.91
106,10.0,Royal Match,"Dream Games, Ltd.",퍼즐/퀴즈게임,3.97
107,-5.0,"Brain Out – 넌센스 마스터, 두뇌 트레이닝",Focus apps,퍼즐/퀴즈게임,-7.68
108,-22.0,프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉게임,-15.71
109,10.0,앙상블스타즈!!,HappyElements,시뮬레이션게임,5.43
110,2.0,아이러브커피,NEXTURE Corporation,캐주얼게임,-0.46
111,-12.0,바람의나라: 연,NEXON Company,롤플레잉게임,-9.96
112,-6.0,3D운전교실,John 3:16,시뮬레이션게임,-8.26
113,8.0,SortPuz: 물의 색깔 정렬 퍼즐 게임,JoyPuz,퍼즐/퀴즈게임,3.85
114,-10.0,마스터 카운트: 군중 클래시 & 스틱맨 달리기 게임,Freeplay Inc,액션게임,-10.11
115,-21.0,마이리틀포레스트,Gamepub,시뮬레이션게임,-16.94
116,1.0,피망 뉴맞고: 카카오맞고 1등 고스톱,NEOWIZ corp,카지노게임,-0.48
117,-14.0,기적의 검,4399 KOREA,롤플레잉게임,-14.28
118,8.0,고스톱 프리: 무료 맞고 혼자 치는 화투게임,NEOWIZ corp,카지노게임,1.55
119,9.0,스와이프 벽돌깨기 - no.1 벽돌깨기 게임,Nine Games,아케이드게임,2.7
120,3.0,블록 퍼즐 보석,hua weiwei,퍼즐/퀴즈게임,-1.65
121,4.0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,롤플레잉게임,-0.29
122,,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,-3.9
123,202.0,Case Hunter – 진실은 언제나 하나!,Focus apps,,186.75
124,-6.0,에브리타운,FLERO Games,시뮬레이션게임,-7.0
125,5.0,Identity V -제5인격,NetEase Games,롤플레잉게임,1.32
126,-11.0,지오메트리 대시 라이트 (Geometry Dash L),RobTop Games,아케이드게임,-10.71
127,,사신키우기 온라인 : 신규서버 오픈,DAERISOFT,시뮬레이션게임,-2.73
128,9.0,Zepp,Huami Inc.,운동/피트니스,6.23
129,-18.0,Hair Challenge,Rollic Games,액션게임,-17.06
130,-40.0,미해결사건부,miHoYo Limited,,-27.82
131,2.0,Nonogram.com(피크로스) - 픽처 크로스 퍼즐 게임,Easybrain,퍼즐/퀴즈게임,-0.71
132,-1.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,,-1.67
133,1.0,모바일 레전드: Bang Bang,Moonton,슈팅게임,-1.83
