rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,브롤스타즈,Supercell,액션게임,-1.99
2,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,-4.02
3,,ROBLOX,Roblox Corporation,어드벤처게임,0.24
4,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-1.14
5,2.0,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-0.06
6,,Pokémon GO,"Niantic, Inc.",어드벤처게임,-1.52
7,-2.0,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-4.68
8,,무한의 계단,NFLY STUDIO,아케이드게임,-3.03
9,,Minecraft,Mojang,액션게임,1.43
10,,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-0.41
11,1.0,캔디크러쉬사가,King,캐주얼게임,-0.53
12,-1.0,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-1.13
13,,클래시 로얄,Supercell,전략게임,0.24
14,1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-1.66
15,1.0,클래시 오브 클랜,Supercell,전략게임,-0.1
16,2.0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,스포츠게임,-3.85
17,-3.0,Pokémon UNITE,The Pokemon Company,,-12.9
18,-1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-5.13
19,1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,0.29
20,1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.5
21,1.0,애니팡2,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.45
22,2.0,좀비고등학교,AWESOMEPIECE,아케이드게임,3.88
23,,Rummikub,Kinkajoo,보드게임,-0.26
24,1.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,2.59
25,1.0,애니팡4,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.11
26,1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-1.37
27,-8.0,라이엇 모바일,"Riot Games, Inc",게임커뮤니티,-18.3
28,,애니팡3,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.97
29,1.0,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-3.01
30,1.0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.94
31,1.0,원신,miHoYo Limited,어드벤처게임,-0.43
32,-3.0,오딘: 발할라 라이징,Kakao Games Corp.,롤플레잉게임,-13.14
33,,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-0.83
34,,냥코 대전쟁,PONOS Corporation,캐주얼게임,-5.36
35,,워드퍼즐 - 단어 게임! 재미있는 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,-2.33
36,2.0,피파모바일,NEXON Company,스포츠게임,-2.59
37,2.0,애니팡 사천성,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.89
38,3.0,캔디크러쉬소다,King,캐주얼게임,0.17
39,1.0,U+프로야구(모든 통신사 이용가능),LG유플러스(LG Uplus Corporation),야구,-3.93
40,-3.0,프렌즈샷: 누구나골프,Kakao Games Corp.,스포츠게임,-17.92
41,-5.0,아르미스,Netease Games Global,,-19.54
42,,한게임 포커,NHN BIGFOOT,카지노게임,-1.72
43,,Among Us,Innersloth LLC,액션게임,-2.29
44,1.0,컴투스프로야구2021,Com2uS,스포츠게임,-3.03
45,1.0,모두의마블,Netmarble,보드게임,-8.8
46,-2.0,미니어스: 작지만 놀라운 모험,BILIBILI,롤플레잉게임,-13.9
47,,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-0.12
48,1.0,피쉬돔 (Fishdom),Playrix,퍼즐/퀴즈게임,3.88
49,2.0,스도쿠 - 두뇌 훈련용 퍼즐 게임,Easybrain,보드게임,5.34
50,-2.0,장기,게임 스튜디오 모노몹,보드게임,0.13
51,-1.0,고스트워 : 캐주얼 배틀 아레나,RHAON,전략게임,-3.72
52,1.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,-1.22
53,1.0,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,-0.54
54,0.0,심포니 오브 에픽,Moonton,,
55,,위 베어 베어스 더 퍼즐,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.47
56,-4.0,Project Makeover,"Magic Tavern, Inc.",캐주얼게임,-2.75
57,7.0,하스스톤,"Blizzard Entertainment, Inc.",카드게임,17.32
58,1.0,Rider,Ketchapp,아케이드게임,3.96
59,-1.0,메이플스토리M,NEXON Company,롤플레잉게임,0.23
60,1.0,마피아42,TEAM42,전략게임,3.25
61,-4.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-3.02
62,-6.0,리니지M,NCSOFT,롤플레잉게임,-5.68
63,,라스트오리진,SmartJoy,,5.2
64,-2.0,골팡 골프 부킹. 조인. 국내.해외 골프투어 필수어플,(주)골팡,골프,-1.34
65,-5.0,로드 오브 히어로즈,CloverGames,롤플레잉게임,-5.65
66,3.0,행복의 저택,"Magic Tavern, Inc.",퍼즐/퀴즈게임,4.34
67,-1.0,Toon Blast,Peak,퍼즐/퀴즈게임,-0.47
68,-3.0,애니팡,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.07
69,4.0,"XGOLF 엑스골프 - 골프부킹, 1인예약, 1박2일, 해외골프","GreenWorks Co.,Ltd.",골프,4.29
70,2.0,Royal Match,"Dream Games, Ltd.",퍼즐/퀴즈게임,3.0
71,-1.0,꿈의 마을 (Township),Playrix,캐주얼게임,0.19
72,2.0,앙상블스타즈!!,HappyElements,시뮬레이션게임,1.61
73,-5.0,한게임 섯다&맞고,NHN BIGFOOT,카지노게임,-2.15
74,2.0,뱅드림! 걸즈 밴드 파티!,Kakao Games Corp.,리듬/타일게임,-0.7
75,5.0,궁수의 전설,Habby,액션게임,3.02
76,1.0,피망 섯다,NEOWIZ corp,카지노게임,-1.64
77,2.0,Toy Blast - 토이 블라스트,Peak,퍼즐/퀴즈게임,-0.7
78,3.0,고스톱 PLUS (무료 맞고 게임),BUZZPOWDER,카지노게임,-0.16
79,-4.0,레알팜 : 진짜 농산물 주는 게임,NEOGAMES,시뮬레이션게임,-6.47
80,-2.0,1945 공군: 슈팅 비행기게임 - 고전게임,ONESOFT,아케이드게임,-9.76
81,2.0,드래곤 플라이트,LINE Games,아케이드게임,-1.48
82,3.0,"단어호감 - 워드 게임, 재미있는 퍼즐 게임",Kerun Games,퍼즐/퀴즈게임,-0.8
83,-16.0,월드 플리퍼,Kakao Games Corp.,액션게임,-18.57
84,3.0,토킹톰 골드런,Outfit7 Limited,액션게임,-0.55
85,1.0,에픽세븐,Smilegate Megaport,롤플레잉게임,-1.86
86,-2.0,제2의 나라: CROSS WORLDS,Netmarble,롤플레잉게임,-2.89
87,1.0,콜 오브 듀티: 모바일,PROXIMA BETA,액션게임,-1.26
88,-6.0,물 퍼즐 정렬 - 색상 정렬 게임,Sonatgame,퍼즐/퀴즈게임,-7.03
89,1.0,Soul Knight,ChillyRoom,액션게임,1.21
90,-1.0,상하이 애니팡,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-0.81
91,-20.0,프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉게임,-20.24
92,-1.0,명일방주,Yostar Limited.,전략게임,0.66
93,-1.0,eFootball PES 2021,KONAMI,스포츠게임,-2.1
94,-1.0,스누피 틀린그림찾기,SUNDAYTOZ Corp.,퍼즐/퀴즈게임,-1.55
