rank,rank_change,app_name,publisher_name,biz_category_sub,value
1,,쿠키런: 킹덤,Devsisters Corporation,롤플레잉게임,-4.98
2,,브롤스타즈,Supercell,액션게임,1.24
3,,카트라이더 러쉬플러스,NEXON Company,운전/레이싱게임,-1.71
4,,ROBLOX,Roblox Corporation,어드벤처게임,-0.23
5,,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,카지노게임,-1.51
6,,배틀그라운드,"KRAFTON, Inc.",슈팅게임,-2.79
7,,Pokémon GO,"Niantic, Inc.",어드벤처게임,0.24
8,1.0,무한의 계단,NFLY STUDIO,아케이드게임,1.98
9,-1.0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,아케이드게임,-7.28
10,0.0,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,롤플레잉게임,
11,-1.0,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,카지노게임,-1.39
12,-1.0,꿈의 집 (Homescapes),Playrix,캐주얼게임,-0.51
13,-1.0,Minecraft,Mojang,액션게임,-0.12
14,,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc",전략게임,-1.22
15,,캔디크러쉬사가,King,캐주얼게임,0.09
16,-3.0,Among Us,Innersloth LLC,액션게임,-10.57
17,-1.0,좀비고등학교,AWESOMEPIECE,아케이드게임,-2.43
18,-1.0,클래시 오브 클랜,Supercell,전략게임,-1.25
19,-1.0,클래시 로얄,Supercell,전략게임,-0.56
20,-1.0,꿈의 정원 (Gardenscapes),Playrix,캐주얼게임,-0.44
21,-1.0,프렌즈팝콘,Kakao Games Corp.,퍼즐/퀴즈게임,-1.29
22,-1.0,애니팡4,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.43
23,-1.0,애니팡2,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-0.35
24,-1.0,애니팡3,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.29
25,-1.0,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략게임,-0.97
26,-1.0,프렌즈팝,Kakao Games Corp.,퍼즐/퀴즈게임,-0.9
27,1.0,Rummikub,Kinkajoo,보드게임,7.28
28,-1.0,LoL+,"Riot Games, Inc",게임커뮤니티,-0.49
29,,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,카지노게임,-1.26
30,,랜덤 다이스(Random Dice): PvP 디펜스,111%,전략게임,-4.1
31,,애니팡 맞고,PLAYLINKS Corp.,카지노게임,-1.14
32,-6.0,그랑사가,NPIXEL,롤플레잉게임,-15.22
33,-1.0,워드퍼즐 - 단어 게임! 재미있는 무료 단어 퍼즐,Kerun Games,퍼즐/퀴즈게임,-3.61
34,,애니팡 사천성,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.12
35,1.0,메이플스토리M,NEXON Company,롤플레잉게임,0.23
36,-1.0,한게임 포커,NHN BIGFOOT,카지노게임,-2.82
37,-4.0,세븐나이츠2,Netmarble,롤플레잉게임,-10.52
38,,원신,miHoYo Limited,어드벤처게임,1.02
39,-2.0,캔디크러쉬소다,King,캐주얼게임,-1.16
40,,가디언 테일즈,Kakao Games Corp.,롤플레잉게임,-3.25
41,,프렌즈타운,Kakao Games Corp.,퍼즐/퀴즈게임,-1.86
42,,모두의마블,Netmarble,보드게임,-6.38
43,,리니지M,NCSOFT,롤플레잉게임,-5.28
44,1.0,장기,게임 스튜디오 모노몹,보드게임,-0.87
45,1.0,Project Makeover,"Magic Tavern, Inc.",캐주얼게임,-0.39
46,-2.0,위 베어 베어스 더 퍼즐,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.21
47,-8.0,앨리스클로젯,Kakao Games Corp.,시뮬레이션게임,-19.01
48,-1.0,맞고의 신 : 카카오 공식 무료 고스톱,"Wemade Max Co., Ltd.",카지노게임,-1.12
49,15.0,프린세스 커넥트! Re:Dive,Kakao Games Corp.,롤플레잉게임,33.64
50,,궁수의 전설,Habby,액션게임,-1.16
51,-3.0,고스트헌터 - 퇴마사키우기,DAERISOFT,어드벤처게임,-8.68
52,-3.0,라스트오리진,SmartJoy,,-5.96
53,,스도쿠 - 무료 두뇌훈련 스도쿠 퍼즐,Easybrain,보드게임,2.48
54,-2.0,피쉬돔 (Fishdom),Playrix,퍼즐/퀴즈게임,-0.2
55,-4.0,피망 섯다,NEOWIZ corp,카지노게임,-2.85
56,-2.0,애니팡,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,0.33
57,2.0,냥코 대전쟁,PONOS Corporation,캐주얼게임,1.86
58,-1.0,Toy Blast - 토이 블라스트,Peak,퍼즐/퀴즈게임,-1.6
59,-4.0,한게임 섯다,NHN BIGFOOT,카지노게임,-3.21
60,7.0,Rider,Ketchapp,아케이드게임,4.44
61,-1.0,콜 오브 듀티: 모바일,PROXIMA BETA,액션게임,-0.25
62,-6.0,로드 오브 히어로즈,CloverGames,롤플레잉게임,-3.66
63,3.0,마피아42,TEAM42,전략게임,3.24
64,36.0,세븐나이츠,Netmarble,롤플레잉게임,50.36
65,-2.0,Toon Blast,Peak,퍼즐/퀴즈게임,-0.57
66,-4.0,AFK 아레나,LilithGames,롤플레잉게임,-2.91
67,-9.0,삼국지 전략판,Qookka Games,전략게임,-7.37
68,1.0,머지 스네이크(Merge Snake!),"Wuhan Weipai Network Technology Co., Ltd.",캐주얼게임,-0.91
69,-8.0,고스트워 : 캐주얼 배틀 아레나,RHAON,전략게임,-8.23
70,1.0,꿈의 마을 (Township),Playrix,캐주얼게임,-0.42
71,-1.0,하스스톤,"Blizzard Entertainment, Inc.",카드게임,-1.93
72,-4.0,쿠키런 for Kakao,Devsisters Corporation,어드벤처게임,-5.4
73,-1.0,드래곤 플라이트,LINE Games,아케이드게임,-1.98
74,3.0,뱅드림! 걸즈 밴드 파티!,Kakao Games Corp.,리듬/타일게임,3.54
75,-2.0,토킹톰 골드런,Outfit7 Limited,액션게임,-2.29
76,-1.0,레알팜 : 진짜 농산물 주는 게임,NEOGAMES,시뮬레이션게임,-1.22
77,-1.0,고스톱 PLUS (무료 맞고 게임),BUZZPOWDER,카지노게임,-1.19
78,6.0,Soul Knight,ChillyRoom,액션게임,6.52
79,-1.0,"Happy Color – 컬러링북, 숫자 색칠 게임",X-Flow,유아교육,-1.43
80,,단어호감 - 무료 워드 게임! 재미있는 퍼즐 게임,Kerun Games,퍼즐/퀴즈게임,-0.66
81,2.0,바람의나라: 연,NEXON Company,롤플레잉게임,0.88
82,-8.0,기적의 검,4399 KOREA,롤플레잉게임,-7.66
83,-1.0,상하이 애니팡,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,-1.26
84,1.0,스누피 틀린그림찾기,"SUNDAYTOZ, INC",퍼즐/퀴즈게임,1.02
85,-4.0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,전략게임,-5.89
86,1.0,달려라 티라노,PathBreaker,캐주얼게임,-0.37
87,-8.0,검은사막 모바일,PEARL ABYSS,롤플레잉게임,-10.78
88,,프렌즈사천성,Kakao Games Corp.,퍼즐/퀴즈게임,-0.42
89,7.0,사신키우기 온라인 : 시즌2 무한의성장,DAERISOFT,시뮬레이션게임,10.01
90,-4.0,명일방주,Yostar Limited.,전략게임,-5.47
91,-26.0,아르카나 택틱스,GAMEVIL,롤플레잉게임,-25.87
92,-3.0,라이즈 오브 킹덤즈,LilithGames,전략게임,-1.34
93,-3.0,아이러브커피,PATIGames Corp.,캐주얼게임,-1.1
94,-2.0,피망 뉴맞고: 카카오맞고 1등 고스톱,NEOWIZ corp,카지노게임,-1.06
95,,블록 퍼즐 보석,hua weiwei,퍼즐/퀴즈게임,-1.04
96,-2.0,카운터사이드,NEXON Company,롤플레잉게임,-3.41
97,-4.0,블록스케이프 - Blockscapes,PeopleFun,퍼즐/퀴즈게임,-4.95
98,15.0,조이느 클래시 3D,Supersonic Studios LTD,아케이드게임,11.41
99,-1.0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,롤플레잉게임,-0.87
100,-1.0,3D운전교실,John 3:16,시뮬레이션게임,-0.61
101,5.0,"모비 - 사전예약, 사전등록, 게임쿠폰",헝그리앱 Group,게임정보,1.38
102,1.0,행복의 저택,"Magic Tavern, Inc.",퍼즐/퀴즈게임,-1.95
103,1.0,제5인격,X.D. Global,어드벤처게임,-1.64
104,7.0,Blockudoku - 블록 퍼즐 게임,Easybrain,퍼즐/퀴즈게임,1.4
105,3.0,페이트/그랜드 오더,Netmarble,롤플레잉게임,-0.56
106,-1.0,에브리타운,FLERO Games,시뮬레이션게임,-1.91
107,16.0,지오메트리 대시 라이트 (Geometry Dash L),RobTop Games,아케이드게임,12.63
108,-6.0,워더 선별 퍼즐은,IEC Global Pty Ltd,퍼즐/퀴즈게임,-5.06
109,19.0,의지의 히어로,ZPLAY Games,액션게임,16.55
110,,1945 공군: 슈팅 비행기게임 - 무료게임,ONESOFT,아케이드게임,-2.5
111,-2.0,Blob Runner 3D,Zynga,액션게임,-3.33
112,-11.0,일곱 개의 대죄: GRAND CROSS,Netmarble,롤플레잉게임,-7.71
113,-16.0,갑부: 장사의 시대,BLANCOZONE NETWORK KOREA,시뮬레이션게임,-9.28
114,,슈퍼펭귄 (Super Penguins),Supersolid,액션게임,1.13
115,-8.0,리니지2M,NCSOFT,롤플레잉게임,-5.41
116,-1.0,숨겨진 유산,Playrix,어드벤처게임,1.19
117,-26.0,붕괴3rd,miHoYo Limited,액션게임,-15.8
118,-6.0,애니팡 포커,PLAYLINKS Corp.,카지노게임,-2.05
119,6.0,매직 타일 3,AMANOTES PTE LTD,리듬/타일게임,9.43
120,-2.0,스와이프 벽돌깨기 - no.1 벽돌깨기 게임,Nine Games,아케이드게임,1.32
