,tablescraper-selected-row,name,tablescraper-selected-row 2,tablescraper-selected-row 3,num,num 2,num 3,num 4,tablescraper-selected-row 5
2,2.0,배틀그라운드,FPS,34.45,"8,445","1,921,357",87.0,"1,338,195",카카오/스팀
4,3.0,서든어택,FPS,29.25,"8,515","1,631,511",74.0,"1,326,761",넥슨
6,4.0,오버워치,FPS,29.25,"8,490","1,631,311",88.0,"1,120,248",블리자드
8,5.0,FIFA 온라인 4,스포츠,89.5,"8,663","1,418,942",59.0,"1,467,601",넥슨
10,6.0,메이플스토리,RPG,32.57,"8,064","863,513",98.0,"527,557",넥슨
12,7.0,던전앤파이터,액션,60.95,"7,203","536,515",99.0,"319,585",넥슨
14,8.0,스타크래프트 리마스터,RTS,3.9,"7,833","527,294",81.0,"393,173",블리자드
16,9.0,로스트아크,RPG,11.37,"4,748","301,359",145.0,"125,343",스마일게이트
18,10.0,카트라이더,레이싱,99.18,"7,794","266,777",35.0,"458,427",넥슨
20,11.0,리니지2,RPG,8.63,"1,532","228,790",388.0,"35,905",엔씨소프트
22,12.0,리니지,RPG,7.18,"2,730","190,239",187.0,"61,180",엔씨소프트
24,13.0,월드 오브 워크래프트,RPG,6.01,"3,409","159,182",140.0,"68,226",블리자드
26,14.0,사이퍼즈,액션,16.84,"3,875","148,189",123.0,"72,003",넥슨
28,15.0,워크래프트3 리포지드,RTS,0.8,"2,964","107,839",95.0,"68,403",블리자드
30,16.0,디아블로3,RPG,3.68,"2,912","97,485",115.0,"50,872",블리자드
32,17.0,콜 오브 듀티: 모던 워페어,FPS,1.58,"3,351","87,904",63.0,"84,630",블리자드
34,18.0,블레이드 & 소울,RPG,3.26,"2,050","86,385",132.0,"39,058",엔씨소프트
36,19.0,패스 오브 엑자일,RPG,3.21,"2,001","84,948",153.0,"33,369",카카오/그라인딩 기어 게임즈
38,20.0,테일즈런너,스포츠,5.2,"3,831","82,295",50.0,"99,003",스마일게이트
40,21.0,스타크래프트2,RTS,0.58,"3,547","78,367",79.0,"59,501",블리자드
