,week_num,rank,column-1 2,name,company,type
99,4,20,(-),엘소드,넥슨 코리아,롤플레잉
100,5,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
101,5,2,(+1),로스트아크,스마일게이트 STOVE,MMORPG
102,5,3,(-1),메이플스토리,NEXON COMPANY,롤플레잉
103,5,4,(-),피파온라인4,NEXON COMPANY,스포츠
104,5,5,(-),카트라이더,NEXON COMPANY,스포츠
105,5,6,(-),던전앤파이터,넥슨 코리아,액션
106,5,7,(-),배틀그라운드,"Kakao Games Corp., PUBG",FPS
107,5,8,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
108,5,9,(-),오버워치,블리자드,FPS
109,5,10,(-),서든어택,넥슨 코리아,FPS
110,5,11,(-),마인크래프트,모장,어드벤처
111,5,12,(-),리니지,엔씨소프트,롤플레잉
112,5,13,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
113,5,14,(-),블레이드앤소울,엔씨소프트,롤플레잉
114,5,15,(-),사이퍼즈,넥슨 코리아,액션
115,5,16,(-),검은사막,카카오게임즈,롤플레잉
116,5,17,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
117,5,18,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
118,5,19,(+1),엘소드,넥슨 코리아,롤플레잉
119,5,20,(-2),아스텔리아,NEXON COMPANY,MMORPG
120,6,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
121,6,2,(-),로스트아크,스마일게이트 STOVE,MMORPG
122,6,3,(-),메이플스토리,NEXON COMPANY,롤플레잉
123,6,4,(-),피파온라인4,NEXON COMPANY,스포츠
124,6,5,(-),카트라이더,NEXON COMPANY,스포츠
125,6,6,(-),던전앤파이터,넥슨 코리아,액션
126,6,7,(-),배틀그라운드,"Kakao Games Corp., PUBG",FPS
127,6,8,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
128,6,9,(+1),서든어택,넥슨 코리아,FPS
129,6,10,(-1),오버워치,블리자드,FPS
130,6,11,(-),마인크래프트,모장,어드벤처
131,6,12,(-),리니지,엔씨소프트,롤플레잉
132,6,13,(+1),블레이드앤소울,엔씨소프트,롤플레잉
133,6,14,(-1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
134,6,15,(-),사이퍼즈,넥슨 코리아,액션
135,6,16,(+1),아이온: 영원의 탑,엔씨소프트,롤플레잉
136,6,17,(-1),검은사막,카카오게임즈,롤플레잉
137,6,18,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
138,6,19,(+2),아키에이지,엑스엘게임즈,롤플레잉
139,6,20,(-1),엘소드,넥슨 코리아,롤플레잉
140,7,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
141,7,2,(-),로스트아크,스마일게이트 STOVE,MMORPG
142,7,3,(-),메이플스토리,NEXON COMPANY,롤플레잉
143,7,4,(+1),카트라이더,NEXON COMPANY,자동차 경주
144,7,5,(-1),피파온라인4,NEXON COMPANY,스포츠
145,7,6,(-),던전앤파이터,넥슨 코리아,액션
146,7,7,(new),에이펙스 레전드,일렉트로닉 아츠,배틀로얄
147,7,8,(-1),배틀그라운드,"Kakao Games Corp., PUBG",FPS
148,7,9,(+1),오버워치,블리자드,FPS
149,7,10,(-1),서든어택,넥슨 코리아,FPS
150,7,11,(-3),천하제일상 거상,AK INTERACTIVE,롤플레잉
151,7,12,(-1),마인크래프트,모장,어드벤처
152,7,13,(-1),리니지,엔씨소프트,롤플레잉
153,7,14,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
154,7,15,(-2),블레이드앤소울,엔씨소프트,롤플레잉
155,7,16,(-1),사이퍼즈,넥슨 코리아,액션
156,7,17,(+2),아키에이지,엑스엘게임즈,롤플레잉
157,7,18,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
158,7,19,(-3),아이온: 영원의 탑,엔씨소프트,롤플레잉
159,7,20,(-3),검은사막,카카오게임즈,롤플레잉
160,8,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
161,8,2,(+1),메이플스토리,NEXON COMPANY,롤플레잉
162,8,3,(-1),로스트아크,스마일게이트 STOVE,롤플레잉
163,8,4,(-),카트라이더,NEXON COMPANY,자동차 경주
164,8,5,(-),피파온라인4,NEXON COMPANY,스포츠
165,8,6,(+1),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
166,8,7,(+1),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
167,8,8,(-2),던전앤파이터,넥슨 코리아,액션
168,8,9,(-),오버워치,블리자드,FPS
169,8,10,(-),서든어택,넥슨 코리아,FPS
170,8,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
171,8,12,(-),마인크래프트,모장,어드벤처
172,8,13,(-),리니지,엔씨소프트,롤플레잉
173,8,14,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
174,8,15,(+2),아키에이지,엑스엘게임즈,롤플레잉
175,8,16,(-1),블레이드앤소울,엔씨소프트,롤플레잉
176,8,17,(-1),사이퍼즈,넥슨 코리아,액션
177,8,18,(-),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
178,8,19,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
179,8,20,(-),검은사막,카카오게임즈,롤플레잉
180,9,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
181,9,2,(-),메이플스토리,NEXON COMPANY,롤플레잉
182,9,3,(-),로스트아크,스마일게이트 STOVE,롤플레잉
183,9,4,(-),카트라이더,NEXON COMPANY,자동차 경주
184,9,5,(-),피파온라인4,NEXON COMPANY,스포츠
185,9,6,(-),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
186,9,7,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
187,9,8,(-),던전앤파이터,넥슨 코리아,액션
188,9,9,(-),오버워치,블리자드,FPS
189,9,10,(-),서든어택,넥슨 코리아,FPS
190,9,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
191,9,12,(-),마인크래프트,모장,어드벤처
192,9,13,(-),리니지,엔씨소프트,롤플레잉
193,9,14,(-),테일즈런너,스마일게이트 메가포트,캐주얼 게임
194,9,15,(-),아키에이지,엑스엘게임즈,롤플레잉
195,9,16,(-),블레이드앤소울,엔씨소프트,롤플레잉
196,9,17,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
197,9,18,(-1),사이퍼즈,넥슨 코리아,액션
198,9,19,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
199,9,20,(-),검은사막,카카오게임즈,롤플레잉
200,10,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
201,10,2,(-),메이플스토리,NEXON COMPANY,롤플레잉
202,10,3,(-),로스트아크,스마일게이트 STOVE,롤플레잉
203,10,4,(-),카트라이더,NEXON COMPANY,자동차 경주
204,10,5,(-),피파온라인4,NEXON COMPANY,스포츠
205,10,6,(-),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
206,10,7,(-),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
207,10,8,(-),던전앤파이터,넥슨 코리아,액션
208,10,9,(-),오버워치,블리자드,FPS
209,10,10,(-),서든어택,넥슨 코리아,FPS
210,10,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
211,10,12,(+1),리니지,엔씨소프트,롤플레잉
212,10,13,(-1),마인크래프트,모장,어드벤쳐
213,10,14,(+3),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
214,10,15,(-),아키에이지,엑스엘게임즈,롤플레잉
215,10,16,(-),블레이드앤소울,엔씨소프트,롤플레잉
216,10,17,(+1),사이퍼즈,넥슨 코리아,액션
217,10,18,(-4),테일즈런너,스마일게이트 메가포트,캐주얼 게임
218,10,19,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
219,10,20,(-),검은사막,카카오게임즈,롤플레잉
220,11,1,(-),리그 오브 레전드,라이엇 게임즈,AOS
221,11,2,(-),메이플스토리,NEXON COMPANY,롤플레잉
222,11,3,(+2),피파온라인4,NEXON COMPANY,스포츠
223,11,4,(-),카트라이더,NEXON COMPANY,자동차 경주
224,11,5,(-2),로스트아크,스마일게이트 STOVE,롤플레잉
225,11,6,(+1),배틀그라운드,"KAKAO GAMES CORP., PUBG",FPS
226,11,7,(+1),던전앤파이터,넥슨 코리아,액션
227,11,8,(-2),에이펙스 레전드,리스폰 엔터테인먼트,배틀로얄
228,11,9,(-),오버워치,블리자드,FPS
229,11,10,(-),서든어택,넥슨 코리아,FPS
230,11,11,(-),천하제일상 거상,AK INTERACTIVE,롤플레잉
231,11,12,(-),리니지,엔씨소프트,롤플레잉
232,11,13,(+1),크레이지 아케이드 비엔비,넥슨 코리아,캐주얼 게임
233,11,14,(-1),마인크래프트,모장,어드벤쳐
234,11,15,(+2),사이퍼즈,넥슨 코리아,액션
235,11,16,(-1),아키에이지,엑스엘게임즈,롤플레잉
236,11,17,(+1),테일즈런너,스마일게이트 메가포트,캐주얼 게임
237,11,18,(-2),블레이드앤소울,엔씨소프트,롤플레잉
238,11,19,(-),아이온: 영원의 탑,엔씨소프트,롤플레잉
