rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지M,NCSOFT,1.0,2.0,
2,0,세븐나이츠2,Netmarble,2.0,1.0,
3,0,리니지2M,NCSOFT,3.0,3.0,
4,0,기적의 검,4399 KOREA,5.0,24.0,11.0
5,0,바람의나라: 연,NEXON Company,10.0,7.0,4.0
6,0,V4,NEXON Company,4.0,8.0,
7,0,라이즈 오브 킹덤즈,LilithGames,6.0,5.0,
8,0,미르4,"Wemade Co., Ltd",61.0,15.0,1.0
9,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,28.0,6.0,2.0
10,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,9.0,13.0,18.0
11,0,뮤 아크엔젤,Webzen Inc.,7.0,28.0,
12,0,카트라이더 러쉬플러스,NEXON Company,8.0,4.0,
13,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,19.0,35.0,6.0
14,0,라그나로크 오리진,"GRAVITY Co., Ltd.",22.0,20.0,10.0
15,0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,53.0,36.0,5.0
16,0,가디언 테일즈,Kakao Games Corp.,13.0,10.0,
17,0,블레이드&소울 레볼루션,Netmarble,11.0,22.0,
18,0,리니지2 레볼루션,Netmarble,12.0,17.0,
19,0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,132.0,287.0,3.0
20,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,24.0,23.0,15.0
21,0,원신,miHoYo Limited,15.0,19.0,
22,0,R2M,Webzen Inc.,14.0,41.0,
23,0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,25.0,12.0,37.0
24,0,A3: 스틸얼라이브,Netmarble,16.0,25.0,
25,0,건쉽배틀 토탈워페어,JOYCITY Corp.,42.0,54.0,13.0
26,0,배틀그라운드,"KRAFTON, Inc.",18.0,18.0,
27,0,AFK 아레나,LilithGames,17.0,21.0,
28,0,라이즈 오브 엠파이어,Long Tech Network Limited,43.0,76.0,12.0
29,0,에픽세븐,Smilegate Megaport,23.0,9.0,
30,0,라스트 쉘터: 서바이벌,Long Tech Network Limited,80.0,56.0,8.0
31,0,슬램덩크,DeNA HONG KONG LIMITED,34.0,32.0,16.0
32,0,랜덤 다이스(Random Dice): PvP 디펜스,111%,26.0,16.0,
33,0,황제라 칭하라,"Clicktouch Co., Ltd.",35.0,37.0,22.0
34,0,메이플스토리M,NEXON Company,30.0,11.0,
35,0,로드 모바일: 타워 디펜스,IGG.COM,20.0,68.0,
36,0,삼국지M,Efun Company,140.0,69.0,9.0
37,0,검은사막 모바일,PEARL ABYSS,33.0,31.0,38.0
38,0,ROBLOX,Roblox Corporation,21.0,87.0,
39,0,삼국지 오리진,R2 Games Asia,78.0,55.0,14.0
40,0,꿈의 정원 (Gardenscapes),Playrix,27.0,30.0,
41,0,라스트오리진,SmartJoy,,,7.0
42,0,스테리테일,4399 KOREA,37.0,61.0,35.0
43,0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,31.0,52.0,54.0
44,0,마구마구 2021,Netmarble,36.0,14.0,
45,0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,29.0,44.0,
46,0,한게임 포커,NHN BIGFOOT,41.0,92.0,41.0
47,0,왕좌의게임:윈터이즈커밍,"YOOZOO GAMES KOREA CO., LTD.",75.0,73.0,17.0
48,0,달빛조각사,Kakao Games Corp.,55.0,59.0,24.0
49,0,일루전 커넥트,ChangYou,66.0,77.0,19.0
50,0,서머너즈 워: 천공의 아레나,Com2uS,32.0,38.0,
51,0,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,52.0,49.0,33.0
52,0,에오스 레드,BluePotion Games,48.0,,31.0
53,0,브롤스타즈,Supercell,39.0,27.0,
54,0,황제의 꿈,37GAMES.AISA,65.0,,20.0
55,0,꿈의 집 (Homescapes),Playrix,40.0,26.0,
