rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지M,NCSOFT,1,2.0,
2,0,바람의나라: 연,NEXON Company,3,1.0,1.0
3,0,리니지2M,NCSOFT,2,7.0,
4,0,카트라이더 러쉬플러스,NEXON Company,4,3.0,
5,0,라그나로크 오리진,"GRAVITY Co., Ltd.",12,8.0,4.0
6,0,일루전 커넥트,ChangYou,13,19.0,3.0
7,0,기적의 검,4399 KOREA,6,34.0,8.0
8,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,18,18.0,2.0
9,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,21,4.0,5.0
10,0,R2M,Webzen Inc.,5,24.0,
11,0,V4,NEXON Company,7,5.0,
12,0,뮤 아크엔젤,Webzen Inc.,8,14.0,
13,0,가디언 테일즈,Kakao Games Corp.,9,15.0,
14,0,블레이드&소울 레볼루션,Netmarble,10,20.0,
15,0,슬램덩크,DeNA HONG KONG LIMITED,23,12.0,10.0
16,0,라이즈 오브 킹덤즈,LilithGames,11,10.0,
17,0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,71,39.0,7.0
18,0,삼국지M,Efun Company,146,55.0,6.0
19,0,스테리테일,4399 KOREA,22,31.0,21.0
20,0,라스트 쉘터: 서바이벌,Long Tech Network Limited,58,80.0,9.0
21,0,AFK 아레나,LilithGames,16,13.0,
22,0,A3: 스틸얼라이브,Netmarble,14,23.0,
23,0,원신,miHoYo Limited,20,6.0,
24,0,리니지2 레볼루션,Netmarble,15,28.0,
25,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,33,26.0,18.0
26,0,FIFA Mobile,NEXON Company,19,16.0,
27,0,동방불패 모바일,Perfect World Korea,25,48.0,34.0
28,0,황제라 칭하라,"Clicktouch Co., Ltd.",40,32.0,20.0
29,0,에픽세븐,Smilegate Megaport,17,56.0,
30,0,배틀그라운드,"KRAFTON, Inc.",24,17.0,
31,0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,30,27.0,37.0
32,0,메이플스토리M,NEXON Company,28,9.0,
33,0,검은사막 모바일,PEARL ABYSS,31,30.0,42.0
34,0,마구마구 2021,Netmarble,29,11.0,
35,0,라이즈 오브 엠파이어,Long Tech Network Limited,36,73.0,24.0
