rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지M,NCSOFT,1,1.0,
2,0,리니지2M,NCSOFT,2,5.0,
3,0,기적의 검,4399 KOREA,4,9.0,5.0
4,0,바람의나라: 연,NEXON Company,8,4.0,2.0
5,0,트릭스터M,NCSOFT,3,6.0,
6,0,파이널기어,BILIBILI,5,10.0,
7,0,미르4,"Wemade Co., Ltd",24,25.0,1.0
8,0,삼국지 전략판,Qookka Games,9,11.0,3.0
9,0,쿠키런: 킹덤,Devsisters Corporation,6,2.0,6.0
10,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,27,3.0,4.0
11,0,세븐나이츠2,Netmarble,7,7.0,
12,0,라이즈 오브 킹덤즈,LilithGames,10,12.0,
13,0,V4,NEXON Company,12,16.0,
14,0,블레이드&소울 레볼루션,Netmarble,11,29.0,
15,0,뮤 아크엔젤,Webzen Inc.,13,49.0,
16,0,원신,miHoYo Limited,15,21.0,
17,0,R2M,Webzen Inc.,14,73.0,
18,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,28,26.0,7.0
19,0,리니지2 레볼루션,Netmarble,17,28.0,
20,0,A3: 스틸얼라이브,Netmarble,16,30.0,
21,0,배틀그라운드,"KRAFTON, Inc.",23,13.0,
22,0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,25,18.0,32.0
23,0,그랑사가,NPIXEL,21,23.0,
24,0,붕괴3rd,miHoYo Limited,19,50.0,
25,0,ROBLOX,Roblox Corporation,18,88.0,
26,0,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,22,19.0,
27,0,브롤스타즈,Supercell,20,39.0,
28,0,카트라이더 러쉬플러스,NEXON Company,30,8.0,
29,0,데카론M,THUMBAGE,29,,23.0
30,0,에픽세븐,Smilegate Megaport,26,51.0,
31,0,소녀X헌터,Sincetimes Inc.,34,17.0,
32,0,신명2:아수라,Trigirls Studio,35,138.0,18.0
33,0,킹덤 : 전쟁의 불씨,파우게임즈,38,,10.0
34,0,AFK 아레나,LilithGames,31,40.0,
35,0,서머너즈 워: 천공의 아레나,Com2uS,33,41.0,
36,0,컴투스프로야구2021,Com2uS,32,56.0,
37,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,46,35.0,22.0
38,0,사신키우기 온라인 : 시즌2 무한의성장,DAERISOFT,50,,9.0
39,0,한게임 포커,NHN BIGFOOT,39,57.0,38.0
40,0,메이플스토리M,NEXON Company,44,15.0,
41,0,갑부: 장사의 시대,BLANCOZONE NETWORK KOREA,60,24.0,19.0
42,0,라그나로크 오리진,"GRAVITY Co., Ltd.",71,44.0,11.0
43,0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,45,27.0,73.0
44,0,페이트/그랜드 오더,Netmarble,36,42.0,
45,0,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,86,33.0,15.0
46,0,FIFA Mobile,NEXON Company,42,22.0,
47,0,건쉽배틀 토탈워페어,JOYCITY Corp.,51,82.0,21.0
48,0,꿈의 정원 (Gardenscapes),Playrix,37,46.0,
49,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,89,62.0,12.0
50,0,가디언 테일즈,Kakao Games Corp.,41,31.0,
51,0,일곱 개의 대죄: GRAND CROSS,Netmarble,40,58.0,
52,0,Top War: Battle Game,Topwar Studio,43,43.0,
53,0,마구마구 2021,Netmarble,59,14.0,
54,0,삼국지M,Efun Company,212,77.0,8.0
