rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지2M,NCSOFT,1.0,3.0,
2,0,리니지M,NCSOFT,2.0,2.0,
3,0,세븐나이츠2,Netmarble,3.0,1.0,
4,0,라이즈 오브 킹덤즈,LilithGames,4.0,5.0,
5,0,기적의 검,4399 KOREA,5.0,19.0,7.0
6,0,바람의나라: 연,NEXON Company,7.0,7.0,1.0
7,0,미르4,"Wemade Co., Ltd",21.0,10.0,2.0
8,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,9.0,14.0,9.0
9,0,뮤 아크엔젤,Webzen Inc.,6.0,26.0,
10,0,V4,NEXON Company,8.0,9.0,
11,0,카트라이더 러쉬플러스,NEXON Company,12.0,4.0,
12,0,블리치: 만해의 길,DAMO NETWORK LIMITED,11.0,12.0,
13,0,원신,miHoYo Limited,10.0,16.0,
14,0,라그나로크 오리진,"GRAVITY Co., Ltd.",24.0,15.0,5.0
15,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,29.0,8.0,4.0
16,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,28.0,38.0,3.0
17,0,블레이드&소울 레볼루션,Netmarble,13.0,18.0,
18,0,리니지2 레볼루션,Netmarble,14.0,22.0,
19,0,브롤스타즈,Supercell,15.0,34.0,
20,0,메이플스토리M,NEXON Company,20.0,6.0,
21,0,ROBLOX,Roblox Corporation,16.0,79.0,
22,0,찐삼국,ICEBIRD GAMES,23.0,,10.0
23,0,A3: 스틸얼라이브,Netmarble,17.0,27.0,
24,0,R2M,Webzen Inc.,18.0,45.0,
25,0,에픽세븐,Smilegate Megaport,19.0,46.0,
26,0,가디언 테일즈,Kakao Games Corp.,22.0,20.0,
27,0,배틀그라운드,"KRAFTON, Inc.",25.0,13.0,
28,0,AFK 아레나,LilithGames,27.0,24.0,
29,0,로드 모바일: 타워 디펜스,IGG.COM,26.0,76.0,
30,0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,34.0,11.0,44.0
31,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,35.0,36.0,27.0
32,0,명일방주,Yostar Limited.,30.0,35.0,
33,0,슬램덩크,DeNA HONG KONG LIMITED,52.0,17.0,11.0
34,0,꿈의 정원 (Gardenscapes),Playrix,31.0,43.0,
35,0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,64.0,47.0,8.0
36,0,FIFA Mobile,NEXON Company,33.0,23.0,
37,0,삼국지M,Efun Company,203.0,48.0,6.0
38,0,검은사막 모바일,PEARL ABYSS,38.0,37.0,53.0
39,0,랑그릿사,ZlongGames,32.0,68.0,
