rank,rank_change,app_name,publisher_name,google_rank,apple_rank,onestore_rank
1,0,리니지M,NCSOFT,1.0,3.0,
2,0,리니지2M,NCSOFT,2.0,4.0,
3,0,세븐나이츠2,Netmarble,3.0,1.0,
4,0,기적의 검,4399 KOREA,4.0,23.0,5.0
5,0,바람의나라: 연,NEXON Company,7.0,7.0,1.0
6,0,카트라이더 러쉬플러스,NEXON Company,5.0,2.0,
7,0,미르4,"Wemade Co., Ltd",14.0,12.0,2.0
8,0,라이즈 오브 킹덤즈,LilithGames,6.0,6.0,
9,0,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,10.0,11.0,9.0
10,0,V4,NEXON Company,8.0,9.0,
11,0,블레이드&소울 레볼루션,Netmarble,9.0,16.0,
12,0,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,25.0,8.0,7.0
13,0,라그나로크 오리진,"GRAVITY Co., Ltd.",24.0,17.0,6.0
14,0,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,33.0,36.0,3.0
15,0,메이플스토리M,NEXON Company,17.0,5.0,
16,0,가디언 테일즈,Kakao Games Corp.,12.0,15.0,
17,0,뮤 아크엔젤,Webzen Inc.,11.0,27.0,
18,0,찐삼국,ICEBIRD GAMES,20.0,,18.0
19,0,원신,miHoYo Limited,16.0,10.0,
20,0,R2M,Webzen Inc.,13.0,41.0,
21,0,리니지2 레볼루션,Netmarble,15.0,22.0,
22,0,A3: 스틸얼라이브,Netmarble,21.0,29.0,
23,0,ROBLOX,Roblox Corporation,18.0,46.0,
24,0,로드 모바일: 타워 디펜스,IGG.COM,19.0,70.0,
25,0,로드 오브 히어로즈,CloverGames,22.0,34.0,
26,0,Age of Z Origins (에이지 오브 제트),Camel Games Limited,34.0,32.0,19.0
27,0,배틀그라운드,"KRAFTON, Inc.",28.0,13.0,
28,0,붕괴3rd,miHoYo Limited,23.0,45.0,
29,0,AFK 아레나,LilithGames,29.0,25.0,
30,0,에픽세븐,Smilegate Megaport,26.0,39.0,
31,0,서머너즈 워: 천공의 아레나,Com2uS,27.0,43.0,
32,0,라스트오리진,SmartJoy,,,4.0
33,0,슬램덩크,DeNA HONG KONG LIMITED,55.0,31.0,13.0
34,0,브롤스타즈,Supercell,30.0,24.0,
35,0,라이즈 오브 엠파이어,Long Tech Network Limited,50.0,78.0,15.0
36,0,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,64.0,37.0,12.0
37,0,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,117.0,206.0,8.0
38,0,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,36.0,20.0,59.0
39,0,라스트 쉘터: 서바이벌,Long Tech Network Limited,82.0,69.0,10.0
40,0,꿈의 정원 (Gardenscapes),Playrix,32.0,30.0,
41,0,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,31.0,54.0,
42,0,건쉽배틀 토탈워페어,JOYCITY Corp.,56.0,62.0,16.0
43,0,황제라 칭하라,"Clicktouch Co., Ltd.",48.0,28.0,24.0
44,0,랜덤 다이스(Random Dice): PvP 디펜스,111%,35.0,21.0,
45,0,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,41.0,49.0,52.0
46,0,검은사막 모바일,PEARL ABYSS,40.0,33.0,75.0
47,0,황제의 꿈,37GAMES.AISA,65.0,,17.0
48,0,FIFA Mobile,NEXON Company,42.0,18.0,
49,0,한게임 포커,NHN BIGFOOT,43.0,82.0,38.0
50,0,꿈의 집 (Homescapes),Playrix,38.0,26.0,
51,0,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,61.0,42.0,21.0
52,0,블리치: 만해의 길,DAMO NETWORK LIMITED,45.0,14.0,
53,0,에브리타운,FLERO Games,141.0,121.0,14.0
54,0,스테리테일,4399 KOREA,51.0,55.0,30.0
55,0,삼국지 오리진,R2 Games Asia,77.0,53.0,20.0
56,0,페이트/그랜드 오더,Netmarble,37.0,127.0,
57,0,프로야구 H2,NCSOFT,490.0,159.0,11.0
58,0,마구마구 2021,Netmarble,47.0,19.0,
59,0,Pokémon GO,"Niantic, Inc.",44.0,35.0,
60,0,달빛조각사,Kakao Games Corp.,59.0,71.0,32.0
61,0,사신키우기 온라인 : 시즌2 무한의성장,DAERISOFT,39.0,,
62,0,카이로스 : 어둠을 밝히는 자,Longtu Korea Inc.,63.0,,29.0
63,0,킹덤 : 전쟁의 불씨,파우게임즈,79.0,,23.0
64,0,킹 오브 파이터 올스타,Netmarble,80.0,87.0,26.0
65,0,컴투스프로야구2021,Com2uS,46.0,59.0,
66,0,마피아 시티,YottaGame,60.0,100.0,50.0
67,0,디펜스 워：데스티니 차일드 PVP 게임,THUMBAGE,49.0,48.0,
68,0,강호:극,"Scene Stealer Co., Ltd.",57.0,,49.0
69,0,관도:삼국지,Gacraze Entertainment Limited,113.0,96.0,22.0
70,0,King of Avalon: 영토 전쟁,Century Games Limited,84.0,267.0,27.0
71,0,클래시 오브 클랜,Supercell,53.0,38.0,
72,0,모두의마블,Netmarble,75.0,40.0,60.0
73,0,케페우스M,Ujoy Games,66.0,114.0,55.0
74,0,일루전 커넥트,ChangYou,128.0,142.0,25.0
75,0,랑그릿사,ZlongGames,52.0,66.0,
76,0,Top War: Battle Game,Topwar Studio,54.0,56.0,
77,0,리치리치,U.LU Games,91.0,68.0,43.0
78,0,삼국지M,Efun Company,138.0,91.0,28.0
79,0,스카이랜더스 링 오브 히어로즈,Com2uS,58.0,63.0,
80,0,에오스 레드,BluePotion Games,103.0,,34.0
81,0,세븐나이츠,Netmarble,62.0,95.0,
82,0,왕좌의게임:윈터이즈커밍,"YOOZOO GAMES KOREA CO., LTD.",135.0,112.0,31.0
83,0,동방불패 모바일,Perfect World Korea,133.0,85.0,37.0
84,0,킹스레이드,Vespa Inc.,131.0,157.0,33.0
85,0,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,69.0,94.0,154.0
86,0,eFootball PES 2021,KONAMI,71.0,58.0,
87,0,좀비고등학교,AWESOMEPIECE,67.0,106.0,196.0
88,0,한게임 섯다,NHN BIGFOOT,112.0,73.0,58.0
89,0,D-MEN: 히어로 컴백,ACE GAME INTERNATIONAL LIMITED,73.0,74.0,
90,0,캔디크러쉬사가,King,72.0,79.0,
91,0,데스티니 차일드,SHIFTUP,68.0,133.0,
92,0,트라하,NEXON Company,94.0,179.0,65.0
93,0,일곱 개의 대죄: GRAND CROSS,Netmarble,74.0,77.0,
94,0,리버티레기온,Eyougame Inc.,107.0,81.0,61.0
95,0,탄성,Longtu Korea Inc.,104.0,358.0,47.0
96,0,MARVEL 퓨처파이트,Netmarble,70.0,108.0,
97,0,Guns of Glory: 철가면,Century Games Limited,111.0,149.0,54.0
98,0,라그나로크M: TRINITY,"GRAVITY Co., Ltd.",76.0,120.0,
99,0,한게임포커 클래식 with PC,NHN Corp.,88.0,,78.0
100,0,애니팡4,"SUNDAYTOZ, INC",81.0,118.0,133.0
101,0,라플라스M,ZlongGames,85.0,51.0,
102,0,컴투스프로야구매니저,Com2uS,185.0,105.0,39.0
103,0,마피아42,TEAM42,190.0,50.0,46.0
104,0,ANOTHER EDEN 시공을 넘는 고양이,"WFS, Inc.",78.0,101.0,
