"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","던전앤파이터 모바일","https://trees.gamemeca.com/mdnf","NEXON Company","롤플레잉"
"2","(+3)","ROBLOX","https://trees.gamemeca.com/roblox","Roblox Corporation","어드벤처"
"3","(+1)","오딘: 발할라 라이징","https://trees.gamemeca.com/odin","KAKAO GAMES CORP.","롤플레잉"
"4","(-2)","우마무스메 프리티 더비","https://trees.gamemeca.com/umamusume","Kakao Games Corp.","시뮬레이션"
"5","(-2)","미르M","https://trees.gamemeca.com/mirm","Wemade Co., Ltd","롤플레잉"
"6","(-)","디아블로 이모탈","https://trees.gamemeca.com/diabloimmortal","Blizzard Entertainment, Inc.","롤플레잉"
"7","(+1)","리니지M","https://trees.gamemeca.com/lineagem19","NCSOFT Corporation","롤플레잉"
"8","(+1)","리니지W","https://trees.gamemeca.com/lineagew","NCSOFT","롤플레잉"
"9","(-2)","천애명월도M","https://trees.gamemeca.com/moonlightbladem","Level Infinite","롤플레잉"
"10","(+2)","바람의나라 연","https://trees.gamemeca.com/baram_m","NEXON Company","롤플레잉"
"11","(-1)","포켓몬고","https://trees.gamemeca.com/pokemongo","Niantic, Inc.","어드벤처"
"12","(-1)","원신","https://trees.gamemeca.com/genshin","miHoYo Limited","어드벤처"
"13","(NEW)","노아의 심장","https://trees.gamemeca.com/noah","ARCHOSAUR GAMES","롤플레잉"
"14","(+1)","피파 모바일","https://trees.gamemeca.com/fmk","NEXON Company","스포츠"
"15","(-2)","전략적 팀 전투","https://trees.gamemeca.com/league","Riot Games, Inc","전략"
"16","(-)","쿠키런: 킹덤","https://trees.gamemeca.com/cookierunkingdom","Devsisters Corporation","롤플레잉"
"17","(+1)","리니지2M","https://trees.gamemeca.com/lineage2m19","NCSOFT Corporation","롤플레잉"
"18","(+1)","메이플스토리M","https://trees.gamemeca.com/maplem","NEXON Company","롤플레잉"
"19","(-5)","헌터W","https://trees.gamemeca.com/hunterw","4399 KOREA","롤플레잉"
"20","(-)","냥코 대전쟁","https://trees.gamemeca.com/battlecatskr","PONOS Corporation","캐주얼 게임"
"21","(-)","검은사막 모바일","https://trees.gamemeca.com/blackdesertm","PEARL ABYSS","롤플레잉"
"22","(-5)","제2의 나라","https://trees.gamemeca.com/2worlds","Netmarble","롤플레잉"
"23","(-1)","브롤스타즈","https://trees.gamemeca.com/brawlstars","Supercell","액션"
"24","(-)","세븐나이츠2","https://trees.gamemeca.com/sevenknights2","Netmarble","롤플레잉"
"25","(+7)","미틱 히어로즈","https://trees.gamemeca.com/mythicheroes","IGG.COM","롤플레잉"
"26","(+1)","블루 아카이브","https://trees.gamemeca.com/bluearchive","NEXON Company","롤플레잉"
"27","(-1)","히어로즈 테일즈","https://trees.gamemeca.com/heroestales","37 MOBILE GAMES","롤플레잉"
"28","(-)","백일몽화","https://trees.gamemeca.com/grimlight","EIGHT STUDIO","롤플레잉"
"29","(-4)","프로젝트 세카이 컬러풀 스테이지! feat.하츠네 미쿠","https://trees.gamemeca.com/pjsekai","Nuverse","음악"
"30","(+3)","페어리테일:위대한여정","https://trees.gamemeca.com/fairytailgp","GAMEPUB","롤플레잉"
"31","(-2)","카트라이더 러쉬플러스","https://trees.gamemeca.com/nexonkart","NEXON Company","자동차 경주"
"32","(-2)","언디셈버","https://trees.gamemeca.com/undecember","LINE Games","롤플레잉"
"33","(+1)","좀비고등학교","https://trees.gamemeca.com/aooni","AWESOMEPIECE","아케이드"
"34","(-3)","V4","https://trees.gamemeca.com/v4kr","NEXON Company","롤플레잉"
"35","(-)","삼국지 전략판","https://trees.gamemeca.com/sgzzlb","Qookka Games","전략"
"36","(+2)","리그 오브 레전드: 와일드 리프트","https://trees.gamemeca.com/wildrift","Riot Games, Inc","전략"
"37","(-)","일곱개의 대죄: 그랜드 크로스","https://trees.gamemeca.com/sevenguilty","Netmarble","롤플레잉"
"38","(+2)","블레이드 키우기","","mobirix","시뮬레이션"
"39","(-)","라이즈 오브 킹덤즈","https://trees.gamemeca.com/rok","Lilith Games","전략"
"40","(-17)","이터널트리","https://trees.gamemeca.com/eternaltree","BILIBILI","롤플레잉"
