"column-1","column-1 2","column-2","column-2 href","column-3","column-4"
"1","(-)","플레이어언노운스 배틀그라운드","https://trees.gamemeca.com/battleground","PUBG Corporation","서바이벌 슈팅"
"2","(-)","어몽 어스","https://trees.gamemeca.com/Among_Us","Innersloth","전략"
"3","(NEW)","슈퍼피플","","Wonder Games","액션"
"4","(-1)","FIFA 22","","Electronic Arts","스포츠"
"5","(-)","스타듀밸리","https://trees.gamemeca.com/stardew_valley","ConcernedApe","전원생활 시뮬레이션"
"6","(+3)","GTA 5","https://trees.gamemeca.com/grand_theft_auto_v","Rockstar Games","오픈월드 범죄 액션"
"7","(-3)","파피 플레이타임","","MOB Games","액션"
"8","(+4)","데드 바이 데이라이트","https://trees.gamemeca.com/dead_by_daylight","Behaviour Digital Inc.","액션"
"9","(-1)","이터널 리턴","","Nimble Neuron","전략 기반 서바이벌"
"10","(-3)","포르자 호라이즌 5","","Xbox Game Studios","레이싱"
"11","(-1)","엘든 링","","FromSoftware Inc., BANDAI NAMCO Entertainment","액션"
"12","(+1)","잇 테이크 투","","Electronic Arts","액션"
"13","(-2)","풋볼 매니저 2022","","SEGA","스포츠"
"14","(-8)","배틀필드 2042","","Electronic Arts","액션"
"15","(-1)","폴가이즈","","Devolver Digital","어드벤처"
"16","(-)","하데스","","Supergiant Games","액션"
"17","(-2)","앤빌","","Action Square","액션"
"18","(-1)","레드 데드 리뎀션 2","https://trees.gamemeca.com/reddeadredemption2","Rockstar Games","액션"
"19","(-1)","휴먼: 폴 플랫","https://trees.gamemeca.com/human_fall_flat","Curve Digital","퍼즐"
"20","(-)","더 심즈 4","https://trees.gamemeca.com/The_Sims_4","Electronic Arts","시뮬레이션"
"21","(+7)","썬더 티어 원","","KRAFTON, Inc.","액션"
"22","(+1)","테라리아","https://trees.gamemeca.com/terraria","Re-Logic","롤플레잉"
"23","(-4)","슈퍼로봇대전 30","","BANDAI NAMCO Entertainment","전략"
"24","(+1)","베리드 스타즈","","LINE Games Corporation","어드벤처"
"25","(-1)","어 댄스 오브 파이어 앤 아이스","","7th Beat Games","음악"
"26","(+4)","헤일로 인피니트","","Xbox Game Studios","액션"
"27","(-1)","더 포레스트","https://trees.gamemeca.com/the_forest","Endnight Games Ltd","서바이벌"
"28","(+1)","철권 7","https://trees.gamemeca.com/tekken_7","BANDAI NAMCO Entertainment","액션"
"29","(+3)","시티즈: 스카이 라인","https://trees.gamemeca.com/cities_skylines","Paradox Interactive","시뮬레이션"
"30","(+1)","문명6","https://trees.gamemeca.com/sid_meiers_civilization_vi","2K","전략"
"31","(-10)","에이지 오브 엠파이어 4","","Xbox Game Studios","전략"
"32","(+3)","사이버펑크 2077","","CD PROJEKT RED","오픈월드 액션 RPG"
"33","(+1)","테일즈 오브 어라이즈","","BANDAI NAMCO Entertainment","액션"
"34","(NEW)","호라이즌 제로 던 컴플리트 에디션","","PlayStation Mobile, Inc.","오픈월드 액션 RPG"
"35","(NEW)","발하임","https://trees.gamemeca.com/valheim","Coffee Stain Publishing","오픈 월드 생존 크래프트"
"36","(+1)","아크: 서바이벌 이볼브드","https://trees.gamemeca.com/arksurvival","Studio Wildcard","어드벤처"
"37","(+2)","삼국지14","","KOEI TECMO GAMES CO., LTD.","시뮬레이션"
"38","(-2)","백 4 블러드","","Warner Bros. Games","액션"
"39","(-6)","귀멸의 칼날 히노카미 혈풍담","","SEGA","액션"
"40","(-2)","그랜드 체이스","","KOG","액션"
