,Unnamed: 0,rank,change,name,service,genre
3650,10,11,(-),브롤스타즈,Supercell,액션
3651,11,12,(-),리니지2M,NCSOFT Corporation,롤플레잉
3652,12,13,(+1),검은사막 모바일,PEARL ABYSS,롤플레잉
3653,13,14,(-1),세븐나이츠2,Netmarble,롤플레잉
3654,14,15,(-),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3655,15,16,(+1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3656,16,17,(+1),메이플스토리M,NEXON Company,롤플레잉
3657,17,18,(+3),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3658,18,19,(-3),미르4,"Wemade Co., Ltd",롤플레잉
3659,19,20,(-),피파 모바일,NEXON Company,스포츠
3660,20,21,(-2),포켓몬고,"Niantic, Inc.",어드벤처
3661,21,22,(+4),좀비고등학교,AWESOMEPIECE,아케이드
3662,22,23,(-),삼국지 전략판,Qookka Games,전략
3663,23,24,(+1),블레이드&소울2,NCSOFT,롤플레잉
3664,24,25,(-1),심포니 오브 에픽,Moonton,전략
3665,25,26,(+1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3666,26,27,(-2),블레이드&소울 레볼루션,Netmarble,롤플레잉
3667,27,28,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
3668,28,29,(+1),모두의마블,Netmarble,보드
3669,29,30,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
3670,30,31,(-2),V4,NEXON Company,롤플레잉
3671,31,32,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3672,32,33,(-),Football Manager 2022 Mobile,SEGA,스포츠
3673,33,34,(+1),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3674,34,35,(+2),기적의 검,4399 KOREA,롤플레잉
3675,35,36,(-2),클래시 로얄,Supercell,전략
3676,36,37,(+1),그랑사가,NPIXEL,롤플레잉
3677,37,38,(+1),라스트오리진,smart joy,롤플레잉
3678,38,39,(+1),제5인격,X.D. Global,어드벤처
3679,39,40,(NEW),창공아레나,Sewon E&C,롤플레잉
3680,0,1,(NEW),언디셈버,LINE Games,롤플레잉
3681,1,2,(-1),리니지W,NCSOFT,롤플레잉
3682,2,3,(-1),ROBLOX,Roblox Corporation,어드벤처
3683,3,4,(-1),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3684,4,5,(-1),리니지M,NCSOFT Corporation,롤플레잉
3685,5,6,(-),원신,miHoYo Limited,어드벤처
3686,6,7,(-2),전략적 팀 전투,"Riot Games, Inc",전략
3687,7,8,(-1),바람의나라 연,NEXON Company,롤플레잉
3688,8,9,(-1),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3689,9,10,(-1),블루 아카이브,NEXON Company,롤플레잉
3690,10,11,(-1),제2의 나라,Netmarble,롤플레잉
3691,11,12,(-1),브롤스타즈,Supercell,액션
3692,12,13,(-1),리니지2M,NCSOFT Corporation,롤플레잉
3693,13,14,(+1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3694,14,15,(-1),세븐나이츠2,Netmarble,롤플레잉
3695,15,16,(-3),검은사막 모바일,PEARL ABYSS,롤플레잉
3696,16,17,(+3),피파 모바일,NEXON Company,스포츠
3697,17,18,(-2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3698,18,19,(-1),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3699,19,20,(-3),메이플스토리M,NEXON Company,롤플레잉
3700,20,21,(-),포켓몬고,"Niantic, Inc.",어드벤처
3701,21,22,(+1),삼국지 전략판,Qookka Games,전략
3702,22,23,(-1),좀비고등학교,AWESOMEPIECE,아케이드
3703,23,24,(-5),미르4,"Wemade Co., Ltd",롤플레잉
3704,24,25,(-1),블레이드&소울2,NCSOFT,롤플레잉
3705,25,26,(+14),창공아레나,Sewon E&C,롤플레잉
3706,26,27,(-2),심포니 오브 에픽,Moonton,전략
3707,27,28,(-2),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3708,28,29,(-1),배틀그라운드 모바일,PUBG CORPORATION,액션
3709,29,30,(NEW),솔라 리바이벌,Ujoy Games,롤플레잉
3710,30,31,(-),V4,NEXON Company,롤플레잉
3711,31,32,(-3),모두의마블,Netmarble,보드
3712,32,33,(-3),라이즈 오브 킹덤즈,Lilith Games,전략
3713,33,34,(-1),Football Manager 2022 Mobile,SEGA,스포츠
3714,34,35,(-3),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3715,35,36,(+1),그랑사가,NPIXEL,롤플레잉
3716,36,37,(-3),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3717,37,38,(-3),기적의 검,4399 KOREA,롤플레잉
3718,38,39,(-12),블레이드&소울 레볼루션,Netmarble,롤플레잉
3719,39,40,(-4),클래시 로얄,Supercell,전략
3720,0,1,(-),언디셈버,LINE Games,롤플레잉
3721,1,2,(+1),ROBLOX,Roblox Corporation,어드벤처
3722,2,3,(-1),리니지W,NCSOFT,롤플레잉
3723,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3724,4,5,(+1),원신,miHoYo Limited,어드벤처
3725,5,6,(+3),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3726,6,7,(-),전략적 팀 전투,"Riot Games, Inc",전략
3727,7,8,(-3),리니지M,NCSOFT Corporation,롤플레잉
3728,8,9,(-1),바람의나라 연,NEXON Company,롤플레잉
3729,9,10,(+2),브롤스타즈,Supercell,액션
3730,10,11,(-),제2의 나라,Netmarble,롤플레잉
3731,11,12,(-2),블루 아카이브,NEXON Company,롤플레잉
3732,12,13,(-),리니지2M,NCSOFT Corporation,롤플레잉
3733,13,14,(-),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3734,14,15,(+5),메이플스토리M,NEXON Company,롤플레잉
3735,15,16,(+1),피파 모바일,NEXON Company,스포츠
3736,16,17,(-2),세븐나이츠2,Netmarble,롤플레잉
3737,17,18,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
3738,18,19,(-1),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3739,19,20,(-1),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3740,20,21,(+5),창공아레나,Sewon E&C,롤플레잉
3741,21,22,(+8),솔라 리바이벌,Ujoy Games,롤플레잉
3742,22,23,(-1),삼국지 전략판,Qookka Games,전략
3743,23,24,(+1),블레이드&소울2,NCSOFT,롤플레잉
3744,24,25,(-1),미르4,"Wemade Co., Ltd",롤플레잉
3745,25,26,(-5),포켓몬고,"Niantic, Inc.",어드벤처
3746,26,27,(-4),좀비고등학교,AWESOMEPIECE,아케이드
3747,27,28,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3748,28,29,(NEW),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3749,29,30,(-3),심포니 오브 에픽,Moonton,전략
3750,30,31,(-2),배틀그라운드 모바일,PUBG CORPORATION,액션
3751,31,32,(+4),그랑사가,NPIXEL,롤플레잉
3752,32,33,(+1),Football Manager 2022 Mobile,SEGA,스포츠
3753,33,34,(+3),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
3754,34,35,(NEW),이스6 온라인,HaoPlay Limited,롤플레잉
3755,35,36,(-5),V4,NEXON Company,롤플레잉
3756,36,37,(-4),라이즈 오브 킹덤즈,Lilith Games,전략
3757,37,38,(-6),모두의마블,Netmarble,보드
3758,38,39,(NEW),삼국지 워,Archosaur Games,전략
3759,39,40,(-5),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3760,0,1,(-),언디셈버,LINE Games,롤플레잉
3761,1,2,(-),ROBLOX,Roblox Corporation,어드벤처
3762,2,3,(-),리니지W,NCSOFT,롤플레잉
3763,3,4,(-),오딘: 발할라 라이징,KAKAO GAMES CORP.,롤플레잉
3764,4,5,(-),원신,miHoYo Limited,어드벤처
3765,5,6,(-),쿠키런: 킹덤,Devsisters Corporation,롤플레잉
3766,6,7,(-),전략적 팀 전투,"Riot Games, Inc",전략
3767,7,8,(+1),바람의나라 연,NEXON Company,롤플레잉
3768,8,9,(-1),리니지M,NCSOFT Corporation,롤플레잉
3769,9,10,(+1),제2의 나라,Netmarble,롤플레잉
3770,10,11,(-1),브롤스타즈,Supercell,액션
3771,11,12,(+1),리니지2M,NCSOFT Corporation,롤플레잉
3772,12,13,(+2),메이플스토리M,NEXON Company,롤플레잉
3773,13,14,(-2),블루 아카이브,NEXON Company,롤플레잉
3774,14,15,(-1),카트라이더 러쉬플러스,NEXON Company,자동차 경주
3775,15,16,(-),피파 모바일,NEXON Company,스포츠
3776,16,17,(+2),냥코 대전쟁,PONOS Corporation,캐주얼 게임
3777,17,18,(-1),세븐나이츠2,Netmarble,롤플레잉
3778,18,19,(-3),솔라 리바이벌,Ujoy Games,롤플레잉
3779,19,20,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
3780,20,21,(-1),히어로즈 테일즈,37 MOBILE GAMES,롤플레잉
3781,21,22,(-1),창공아레나,Sewon E&C,롤플레잉
3782,22,23,(+4),좀비고등학교,AWESOMEPIECE,아케이드
3783,23,24,(-1),삼국지 전략판,Qookka Games,전략
3784,24,25,(+4),킹덤 : 전쟁의 불씨,파우게임즈,롤플레잉
3785,25,26,(-2),블레이드&소울2,NCSOFT,롤플레잉
3786,26,27,(-1),포켓몬고,"Niantic, Inc.",어드벤처
3787,27,28,(-4),그랑사가,NPIXEL,롤플레잉
3788,28,29,(+6),이스6 온라인,HaoPlay Limited,롤플레잉
3789,29,30,(-5),미르4,"Wemade Co., Ltd",롤플레잉
3790,30,31,(-3),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3791,31,32,(+1),Football Manager 2022 Mobile,SEGA,스포츠
3792,32,33,(NEW),카운터사이드,NEXON Company,롤플레잉
3793,33,34,(-3),배틀그라운드 모바일,PUBG CORPORATION,액션
3794,34,35,(+4),삼국지 워,Archosaur Games,전략
3795,35,36,(-6),심포니 오브 에픽,Moonton,전략
3796,36,37,(-3),리그 오브 레전드: 와일드 리프트,"Riot Games, Inc",전략
