,week_num,level_0,rank,change,name,service,genre
3436,14,3436,17,(-),클래시 로얄,Supercell,전략
3437,14,3437,18,(+1),랑그릿사,ZlongGames,전략
3438,14,3438,19,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
3439,14,3439,20,(+1),라스트오리진,smart joy,롤플레잉
3440,13,3440,1,(-),리니지2M,NCSOFT Corporation,롤플레잉
3441,13,3441,2,(-),브롤스타즈,Supercell,액션
3442,13,3442,3,(-),V4,NEXON Company,롤플레잉
3443,13,3443,4,(-),리니지M,NCSOFT Corporation,롤플레잉
3444,13,3444,5,(+2),ROBLOX,Roblox Corporation,어드벤처
3445,13,3445,6,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
