,week_num,level_0,rank,change,name,service,genre
3154,28,3154,15,(new),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3155,28,3155,16,(-2),랑그릿사,ZlongGames,전략
3156,28,3156,17,(-2),메이플스토리M,NEXON Company,롤플레잉
3157,28,3157,18,(-2),포켓몬고,"Niantic, Inc.",어드벤처
3158,28,3158,19,(-),좀비고등학교,AWESOMEPIECE,아케이드
3159,28,3159,20,(-3),블레이드&소울 레볼루션,Netmarble,롤플레잉
3160,27,3160,1,(+2),브롤스타즈,Supercell,액션
3161,27,3161,2,(+2),리니지M,NCSOFT Corporation,롤플레잉
3162,27,3162,3,(+2),라이즈 오브 킹덤즈,Lilith Games,전략
3163,27,3163,4,(-3),에오스 레드,BluePotion Games,롤플레잉
3164,27,3164,5,(-3),미르의 전설2 어게인,Netblue Games,롤플레잉
3165,27,3165,6,(-),ROBLOX,Roblox Corporation,어드벤처
3166,27,3166,7,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3167,27,3167,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3168,27,3168,9,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3169,27,3169,10,(+5),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3170,27,3170,11,(+2),리니지2 레볼루션,Netmarble,롤플레잉
3171,27,3171,12,(-),모두의마블 for kakao,Netmarble,보드
3172,27,3172,13,(-2),로한M,PLAYWITH Inc.,롤플레잉
3173,27,3173,14,(+2),랑그릿사,ZlongGames,전략
3174,27,3174,15,(+2),메이플스토리M,NEXON Company,롤플레잉
3175,27,3175,16,(-6),테라 클래식,Kakao Games Corp.,롤플레잉
3176,27,3176,17,(+1),포켓몬고,"Niantic, Inc.",어드벤처
3177,27,3177,18,(+1),좀비고등학교,AWESOMEPIECE,아케이드
3178,27,3178,19,(-5),라그나로크M: 영원한 사랑,"GRAVITY Co., Ltd.",롤플레잉
3179,27,3179,20,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
3180,26,3180,1,(-),브롤스타즈,Supercell,액션
3181,26,3181,2,(+1),라이즈 오브 킹덤즈,Lilith Games,전략
3182,26,3182,3,(-1),리니지M,NCSOFT Corporation,롤플레잉
3183,26,3183,4,(-),에오스 레드,BluePotion Games,롤플레잉
3184,26,3184,5,(+1),ROBLOX,Roblox Corporation,어드벤처
3185,26,3185,6,(+3),검은사막 모바일,PEARL ABYSS,롤플레잉
3186,26,3186,7,(-),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3187,26,3187,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3188,26,3188,9,(+1),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3189,26,3189,10,(+2),모두의마블 for kakao,Netmarble,보드
3190,26,3190,11,(-),리니지2 레볼루션,Netmarble,롤플레잉
3191,26,3191,12,(+3),메이플스토리M,NEXON Company,롤플레잉
3192,26,3192,13,(+17),클래시 로얄,Supercell,전략
3193,26,3193,14,(+4),좀비고등학교,AWESOMEPIECE,아케이드
3194,26,3194,15,(+2),포켓몬고,"Niantic, Inc.",어드벤처
3195,26,3195,16,(-2),랑그릿사,ZlongGames,전략
3196,26,3196,17,(-4),로한M,PLAYWITH Inc.,롤플레잉
3197,26,3197,18,(+3),블레이드&소울 레볼루션,Netmarble,롤플레잉
3198,26,3198,19,(-3),테라 클래식,Kakao Games Corp.,롤플레잉
3199,26,3199,20,(-),배틀그라운드 모바일,PUBG CORPORATION,액션
3200,25,3200,1,(NEW),달빛조각사,Kakao Games Corp.,롤플레잉
3201,25,3201,2,(-1),브롤스타즈,Supercell,액션
3202,25,3202,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3203,25,3203,4,(-2),라이즈 오브 킹덤즈,Lilith Games,전략
3204,25,3204,5,(-1),에오스 레드,BluePotion Games,롤플레잉
3205,25,3205,6,(-1),ROBLOX,Roblox Corporation,어드벤처
3206,25,3206,7,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
3207,25,3207,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3208,25,3208,9,(-),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3209,25,3209,10,(-3),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3210,25,3210,11,(-),리니지2 레볼루션,Netmarble,롤플레잉
3211,25,3211,12,(NEW),으라차차돌격라그나로크,"GRAVITY Co., Ltd.",롤플레잉
3212,25,3212,13,(-),클래시 로얄,Supercell,전략
3213,25,3213,14,(-2),메이플스토리M,NEXON Company,롤플레잉
3214,25,3214,15,(-1),좀비고등학교,AWESOMEPIECE,아케이드
3215,25,3215,16,(-1),포켓몬고,"Niantic, Inc.",어드벤처
3216,25,3216,17,(+15),세븐나이츠 for kakao,Netmarble,롤플레잉
3217,25,3217,18,(-2),랑그릿사,ZlongGames,전략
3218,25,3218,19,(-2),로한M,PLAYWITH Inc.,롤플레잉
3219,25,3219,20,(-2),블레이드&소울 레볼루션,Netmarble,롤플레잉
3220,24,3220,1,(-),달빛조각사,Kakao Games Corp.,롤플레잉
3221,24,3221,2,(-),브롤스타즈,Supercell,액션
3222,24,3222,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3223,24,3223,4,(-),라이즈 오브 킹덤즈,Lilith Games,전략
3224,24,3224,5,(+1),ROBLOX,Roblox Corporation,어드벤처
3225,24,3225,6,(-1),에오스 레드,BluePotion Games,롤플레잉
3226,24,3226,7,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
3227,24,3227,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3228,24,3228,9,(+1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3229,24,3229,10,(-1),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3230,24,3230,11,(+6),세븐나이츠 for kakao,Netmarble,롤플레잉
3231,24,3231,12,(-1),리니지2 레볼루션,Netmarble,롤플레잉
3232,24,3232,13,(+1),메이플스토리M,NEXON Company,롤플레잉
3233,24,3233,14,(+25),트라하,NEXON Company,롤플레잉
3234,24,3234,15,(+3),랑그릿사,ZlongGames,전략
3235,24,3235,16,(-3),클래시 로얄,Supercell,전략
3236,24,3236,17,(-5),으라차차돌격라그나로크,"GRAVITY Co., Ltd.",롤플레잉
3237,24,3237,18,(-3),좀비고등학교,AWESOMEPIECE,아케이드
3238,24,3238,19,(-3),포켓몬고,"Niantic, Inc.",어드벤처
3239,24,3239,20,(+1),배틀그라운드 모바일,PUBG CORPORATION,액션
3240,23,3240,1,(-),달빛조각사,Kakao Games Corp.,롤플레잉
3241,23,3241,2,(-),브롤스타즈,Supercell,액션
3242,23,3242,3,(-),리니지M,NCSOFT Corporation,롤플레잉
3243,23,3243,4,(NEW),완미세계,Perfect World Games,롤플레잉
3244,23,3244,5,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
3245,23,3245,6,(-1),ROBLOX,Roblox Corporation,어드벤처
3246,23,3246,7,(-1),에오스 레드,BluePotion Games,롤플레잉
3247,23,3247,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3248,23,3248,9,(-2),검은사막 모바일,PEARL ABYSS,롤플레잉
3249,23,3249,10,(-1),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3250,23,3250,11,(+28),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
3251,23,3251,12,(-1),세븐나이츠 for kakao,Netmarble,롤플레잉
3252,23,3252,13,(+1),트라하,NEXON Company,롤플레잉
3253,23,3253,14,(-1),메이플스토리M,NEXON Company,롤플레잉
3254,23,3254,15,(-5),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3255,23,3255,16,(+2),좀비고등학교,AWESOMEPIECE,아케이드
3256,23,3256,17,(-1),클래시 로얄,Supercell,전략
3257,23,3257,18,(-6),리니지2 레볼루션,Netmarble,롤플레잉
3258,23,3258,19,(-4),랑그릿사,ZlongGames,전략
3259,23,3259,20,(-1),포켓몬고,"Niantic, Inc.",어드벤처
3260,22,3260,1,(-),달빛조각사,Kakao Games Corp.,롤플레잉
3261,22,3261,2,(+1),리니지M,NCSOFT Corporation,롤플레잉
3262,22,3262,3,(-1),브롤스타즈,Supercell,액션
3263,22,3263,4,(-),완미세계,Perfect World Games,롤플레잉
3264,22,3264,5,(NEW),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
3265,22,3265,6,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
3266,22,3266,7,(-1),ROBLOX,Roblox Corporation,어드벤처
3267,22,3267,8,(-),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3268,22,3268,9,(-2),에오스 레드,BluePotion Games,롤플레잉
3269,22,3269,10,(-1),검은사막 모바일,PEARL ABYSS,롤플레잉
3270,22,3270,11,(+1),세븐나이츠 for kakao,Netmarble,롤플레잉
3271,22,3271,12,(-1),쿠키런: 오븐브레이크,Devsisters Corporation,아케이드
3272,22,3272,13,(-3),더 킹 오브 파이터즈 올스타,Netmarble,롤플레잉
3273,22,3273,14,(-1),트라하,NEXON Company,롤플레잉
3274,22,3274,15,(+1),메이플스토리M,NEXON Company,롤플레잉
3275,22,3275,16,(NEW),아이들 히어로즈,DHGAMES,롤플레잉
3276,22,3276,17,(-1),좀비고등학교,AWESOMEPIECE,아케이드
3277,22,3277,18,(NEW),뮤오리진2,Webzen Inc.,롤플레잉
3278,22,3278,19,(-4),오늘도 우라라 원시 헌팅 라이프,X.D. Global,롤플레잉
3279,22,3279,20,(-2),리니지2 레볼루션,Netmarble,롤플레잉
3280,21,3280,1,(NEW),V4,NEXON Company,롤플레잉
3281,21,3281,2,(-1),달빛조각사,Kakao Games Corp.,롤플레잉
3282,21,3282,3,(-1),리니지M,NCSOFT Corporation,롤플레잉
3283,21,3283,4,(-1),브롤스타즈,Supercell,액션
3284,21,3284,5,(-1),완미세계,Perfect World Games,롤플레잉
3285,21,3285,6,(-1),세인트 세이야 : 각성,YOUZU(SINGAPORE)PTE.LTD.,카드
3286,21,3286,7,(-1),라이즈 오브 킹덤즈,Lilith Games,전략
3287,21,3287,8,(-1),ROBLOX,Roblox Corporation,어드벤처
3288,21,3288,9,(-1),일곱개의 대죄: 그랜드 크로스,Netmarble,롤플레잉
3289,21,3289,10,(-),검은사막 모바일,PEARL ABYSS,롤플레잉
